run,ep,actor,phase_50k,random_warmup,unique_cells,bfs_span,boundary_crossings,crosses_2_boundaries,corner_passage,detour_segment,start_end_bfs
alpha0,0,0,0,True,1,0,0,False,False,False,0
alpha0,1,1,0,True,2,1,2,True,False,False,0
alpha0,2,2,0,True,1,0,0,False,False,False,0
alpha0,3,3,0,True,2,1,6,True,False,False,0
alpha0,4,0,0,True,1,0,0,False,False,False,0
alpha0,5,1,0,True,1,0,0,False,False,False,0
alpha0,6,2,0,True,1,0,0,False,False,False,0
alpha0,7,3,0,True,2,1,7,True,False,False,1
alpha0,8,0,0,True,2,1,8,True,False,False,0
alpha0,9,1,0,True,2,1,12,True,False,False,0
alpha0,10,2,0,True,1,0,0,False,False,False,0
alpha0,11,3,0,True,2,1,11,True,False,False,1
alpha0,12,0,0,True,1,0,0,False,False,False,0
alpha0,13,1,0,True,1,0,0,False,False,False,0
alpha0,14,2,0,True,2,1,16,True,False,False,0
alpha0,15,3,0,True,2,1,11,True,False,False,1
alpha0,16,0,0,False,1,0,0,False,False,False,0
alpha0,17,1,0,False,1,0,0,False,False,False,0
alpha0,18,2,0,False,1,0,0,False,False,False,0
alpha0,19,3,0,False,1,0,0,False,False,False,0
alpha0,20,0,0,False,1,0,0,False,False,False,0
alpha0,21,1,0,False,1,0,0,False,False,False,0
alpha0,22,2,0,False,1,0,0,False,False,False,0
alpha0,23,3,0,False,1,0,0,False,False,False,0
alpha0,24,0,0,False,1,0,0,False,False,False,0
alpha0,25,1,0,False,1,0,0,False,False,False,0
alpha0,26,2,0,False,1,0,0,False,False,False,0
alpha0,27,3,0,False,1,0,0,False,False,False,0
alpha0,28,0,0,False,1,0,0,False,False,False,0
alpha0,29,1,0,False,1,0,0,False,False,False,0
alpha0,30,2,0,False,1,0,0,False,False,False,0
alpha0,31,3,0,False,1,0,0,False,False,False,0
alpha0,32,0,0,False,1,0,0,False,False,False,0
alpha0,33,1,0,False,1,0,0,False,False,False,0
alpha0,34,2,0,False,1,0,0,False,False,False,0
alpha0,35,3,0,False,1,0,0,False,False,False,0
alpha0,36,0,0,False,1,0,0,False,False,False,0
alpha0,37,1,0,False,2,1,5,True,False,False,1
alpha0,38,2,0,False,1,0,0,False,False,False,0
alpha0,39,3,0,False,1,0,0,False,False,False,0
alpha0,40,0,0,False,1,0,0,False,False,False,0
alpha0,41,1,0,False,1,0,0,False,False,False,0
alpha0,42,2,0,False,1,0,0,False,False,False,0
alpha0,43,3,0,False,1,0,0,False,False,False,0
alpha0,44,0,0,False,1,0,0,False,False,False,0
alpha0,45,1,0,False,1,0,0,False,False,False,0
alpha0,46,2,0,False,1,0,0,False,False,False,0
alpha0,47,3,0,False,1,0,0,False,False,False,0
alpha0,48,0,0,False,1,0,0,False,False,False,0
alpha0,49,1,0,False,1,0,0,False,False,False,0
alpha0,50,2,0,False,1,0,0,False,False,False,0
alpha0,51,3,0,False,1,0,0,False,False,False,0
alpha0,52,0,0,False,1,0,0,False,False,False,0
alpha0,53,1,0,False,1,0,0,False,False,False,0
alpha0,54,2,0,False,1,0,0,False,False,False,0
alpha0,55,3,0,False,1,0,0,False,False,False,0
alpha0,56,0,0,False,1,0,0,False,False,False,0
alpha0,57,1,0,False,1,0,0,False,False,False,0
alpha0,58,2,0,False,1,0,0,False,False,False,0
alpha0,59,3,0,False,1,0,0,False,False,False,0
alpha0,60,0,0,False,2,1,1,False,False,False,1
alpha0,61,1,0,False,1,0,0,False,False,False,0
alpha0,62,2,0,False,1,0,0,False,False,False,0
alpha0,63,3,0,False,1,0,0,False,False,False,0
alpha0,64,0,0,False,2,1,1,False,False,False,1
alpha0,65,1,0,False,2,1,5,True,False,False,1
alpha0,66,2,0,False,1,0,0,False,False,False,0
alpha0,67,3,0,False,1,0,0,False,False,False,0
alpha0,68,0,0,False,1,0,0,False,False,False,0
alpha0,69,1,0,False,1,0,0,False,False,False,0
alpha0,70,2,0,False,1,0,0,False,False,False,0
alpha0,71,3,0,False,1,0,0,False,False,False,0
alpha0,72,0,1,False,1,0,0,False,False,False,0
alpha0,73,1,1,False,1,0,0,False,False,False,0
alpha0,74,2,1,False,1,0,0,False,False,False,0
alpha0,75,3,1,False,2,1,2,True,False,False,0
alpha0,76,0,1,False,1,0,0,False,False,False,0
alpha0,77,1,1,False,1,0,0,False,False,False,0
alpha0,78,2,1,False,1,0,0,False,False,False,0
alpha0,79,3,1,False,1,0,0,False,False,False,0
alpha0,80,0,1,False,1,0,0,False,False,False,0
alpha0,81,1,1,False,1,0,0,False,False,False,0
alpha0,82,2,1,False,1,0,0,False,False,False,0
alpha0,83,3,1,False,1,0,0,False,False,False,0
alpha0,84,0,1,False,1,0,0,False,False,False,0
alpha0,85,1,1,False,1,0,0,False,False,False,0
alpha0,86,2,1,False,1,0,0,False,False,False,0
alpha0,87,3,1,False,1,0,0,False,False,False,0
alpha0,88,0,1,False,2,1,3,True,False,False,1
alpha0,89,1,1,False,1,0,0,False,False,False,0
alpha0,90,2,1,False,2,1,7,True,False,False,1
alpha0,91,3,1,False,1,0,0,False,False,False,0
alpha0,92,0,1,False,1,0,0,False,False,False,0
alpha0,93,1,1,False,1,0,0,False,False,False,0
alpha0,94,2,1,False,1,0,0,False,False,False,0
alpha0,95,3,1,False,1,0,0,False,False,False,0
alpha0,96,0,1,False,1,0,0,False,False,False,0
alpha0,97,1,1,False,1,0,0,False,False,False,0
alpha0,98,2,1,False,1,0,0,False,False,False,0
alpha0,99,3,1,False,2,1,3,True,False,False,1
alpha0,100,0,1,False,2,1,3,True,False,False,1
alpha0,101,1,1,False,1,0,0,False,False,False,0
alpha0,102,2,1,False,3,2,10,True,True,False,2
alpha0,103,3,1,False,3,2,4,True,False,False,2
alpha0,104,0,1,False,1,0,0,False,False,False,0
alpha0,105,1,1,False,1,0,0,False,False,False,0
alpha0,106,2,1,False,1,0,0,False,False,False,0
alpha0,107,3,1,False,1,0,0,False,False,False,0
alpha0,108,0,1,False,1,0,0,False,False,False,0
alpha0,109,1,1,False,1,0,0,False,False,False,0
alpha0,110,2,1,False,2,1,1,False,False,False,1
alpha0,111,3,1,False,1,0,0,False,False,False,0
alpha0,112,0,1,False,2,1,8,True,False,False,0
alpha0,113,1,1,False,1,0,0,False,False,False,0
alpha0,114,2,1,False,1,0,0,False,False,False,0
alpha0,115,3,1,False,2,1,1,False,False,False,1
alpha0,116,0,1,False,1,0,0,False,False,False,0
alpha0,117,1,1,False,1,0,0,False,False,False,0
alpha0,118,2,1,False,1,0,0,False,False,False,0
alpha0,119,3,1,False,1,0,0,False,False,False,0
alpha0,120,0,1,False,1,0,0,False,False,False,0
alpha0,121,1,1,False,1,0,0,False,False,False,0
alpha0,122,2,1,False,1,0,0,False,False,False,0
alpha0,123,3,1,False,1,0,0,False,False,False,0
alpha0,124,0,1,False,1,0,0,False,False,False,0
alpha0,125,1,1,False,2,1,1,False,False,False,1
alpha0,126,2,1,False,1,0,0,False,False,False,0
alpha0,127,3,1,False,1,0,0,False,False,False,0
alpha0,128,0,1,False,1,0,0,False,False,False,0
alpha0,129,1,1,False,1,0,0,False,False,False,0
alpha0,130,2,1,False,1,0,0,False,False,False,0
alpha0,131,3,1,False,2,1,1,False,False,False,1
alpha0,132,0,1,False,2,1,5,True,False,False,1
alpha0,133,1,1,False,1,0,0,False,False,False,0
alpha0,134,2,1,False,1,0,0,False,False,False,0
alpha0,135,3,1,False,2,1,20,True,False,False,0
alpha0,136,0,1,False,1,0,0,False,False,False,0
alpha0,137,1,1,False,1,0,0,False,False,False,0
