environment,controller,reset_seed,discounted_return,success,passage_adherence,lower_passage,shortcut_passage,waypoint_completion,all_waypoints_complete,final_target_index
native,shortcut,51000000,13.16293830696572,True,True,False,True,111,True,2
native,shortcut,51000001,0.0,False,False,False,False,100,False,1
native,shortcut,51000002,13.16293830696572,True,True,False,True,111,True,2
native,shortcut,51000003,0.0,False,False,False,False,100,False,1
native,shortcut,51000004,13.16293830696572,True,True,False,True,111,True,2
native,shortcut,51000005,0.0,False,False,False,False,100,False,1
native,shortcut,51000006,0.0,False,False,False,False,100,False,1
native,shortcut,51000007,0.0,False,False,False,False,100,False,1
native,shortcut,51000008,0.0,False,False,False,False,100,False,1
native,shortcut,51000009,0.0,False,False,False,False,100,False,1
native,shortcut,51000010,13.16293830696572,True,True,False,True,111,True,2
native,shortcut,51000011,0.0,False,False,False,False,100,False,1
native,shortcut,51000012,0.0,False,False,False,False,100,False,1
native,shortcut,51000013,13.16293830696572,True,True,False,True,111,True,2
native,shortcut,51000014,13.16293830696572,True,True,False,True,111,True,2
native,shortcut,51000015,0.0,False,False,False,False,100,False,1
native,shortcut,51000016,0.0,False,False,False,False,100,False,1
native,shortcut,51000017,0.0,False,False,False,False,100,False,1
native,shortcut,51000018,0.0,False,False,False,False,100,False,1
native,shortcut,51000019,13.16293830696572,True,True,False,True,111,True,2
native,shortcut,51000020,0.0,False,False,False,False,100,False,1
native,shortcut,51000021,0.0,False,False,False,False,100,False,1
native,shortcut,51000022,0.0,False,False,False,False,100,False,1
native,shortcut,51000023,0.0,False,False,False,False,100,False,1
native,shortcut,51000024,13.16293830696572,True,True,False,True,111,True,2
native,shortcut,51000025,13.16293830696572,True,True,False,True,111,True,2
native,shortcut,51000026,0.0,False,False,False,False,100,False,1
native,shortcut,51000027,13.16293830696572,True,True,False,True,111,True,2
native,shortcut,51000028,0.0,False,False,False,False,100,False,1
native,shortcut,51000029,0.0,False,False,False,False,100,False,1
native,shortcut,51000030,0.0,False,False,False,False,100,False,1
native,shortcut,51000031,0.0,False,False,False,False,100,False,1
native,shortcut,51000032,13.16293830696572,True,True,False,True,111,True,2
native,shortcut,51000033,0.0,False,False,False,False,100,False,1
native,shortcut,51000034,0.0,False,False,False,False,100,False,1
native,shortcut,51000035,0.0,False,False,False,False,100,False,1
native,shortcut,51000036,0.0,False,False,False,False,100,False,1
native,shortcut,51000037,0.0,False,False,False,False,100,False,1
native,shortcut,51000038,13.16293830696572,True,True,False,True,111,True,2
native,shortcut,51000039,0.0,False,False,False,False,100,False,1
native,shortcut,51000040,13.16293830696572,True,True,False,True,111,True,2
native,shortcut,51000041,0.0,False,False,False,False,100,False,1
native,shortcut,51000042,13.16293830696572,True,True,False,True,111,True,2
native,shortcut,51000043,13.16293830696572,True,True,False,True,111,True,2
native,shortcut,51000044,0.0,False,False,False,False,100,False,1
native,shortcut,51000045,13.16293830696572,True,True,False,True,111,True,2
native,shortcut,51000046,13.16293830696572,True,True,False,True,111,True,2
native,shortcut,51000047,0.0,False,False,False,False,100,False,1
native,shortcut,51000048,0.0,False,False,False,False,100,False,1
native,shortcut,51000049,13.16293830696572,True,True,False,True,111,True,2
native,shortcut,51000050,0.0,False,False,False,False,100,False,1
native,shortcut,51000051,13.16293830696572,True,True,False,True,111,True,2
native,shortcut,51000052,0.0,False,False,False,False,100,False,1
native,shortcut,51000053,0.0,False,False,False,False,100,False,1
native,shortcut,51000054,0.0,False,False,False,False,100,False,1
native,shortcut,51000055,0.0,False,False,False,False,100,False,1
native,shortcut,51000056,13.16293830696572,True,True,False,True,111,True,2
native,shortcut,51000057,13.16293830696572,True,True,False,True,111,True,2
native,shortcut,51000058,13.16293830696572,True,True,False,True,111,True,2
native,shortcut,51000059,13.16293830696572,True,True,False,True,111,True,2
native,shortcut,51000060,0.0,False,False,False,False,100,False,1
native,shortcut,51000061,0.0,False,False,False,False,100,False,1
native,shortcut,51000062,0.0,False,False,False,False,100,False,1
native,shortcut,51000063,13.16293830696572,True,True,False,True,111,True,2
native,shortcut,51000064,0.0,False,False,False,False,100,False,1
native,shortcut,51000065,13.16293830696572,True,True,False,True,111,True,2
native,shortcut,51000066,13.16293830696572,True,True,False,True,111,True,2
native,shortcut,51000067,13.16293830696572,True,True,False,True,111,True,2
native,shortcut,51000068,0.0,False,False,False,False,100,False,1
native,shortcut,51000069,0.0,False,False,False,False,100,False,1
native,shortcut,51000070,0.0,False,False,False,False,100,False,1
native,shortcut,51000071,0.0,False,False,False,False,100,False,1
native,shortcut,51000072,0.0,False,False,False,False,100,False,1
native,shortcut,51000073,13.16293830696572,True,True,False,True,111,True,2
native,shortcut,51000074,0.0,False,False,False,False,100,False,1
native,shortcut,51000075,0.0,False,False,False,False,100,False,1
native,shortcut,51000076,0.0,False,False,False,False,100,False,1
native,shortcut,51000077,0.0,False,False,False,False,100,False,1
native,shortcut,51000078,13.16293830696572,True,True,False,True,111,True,2
native,shortcut,51000079,0.0,False,False,False,False,100,False,1
native,shortcut,51000080,0.0,False,False,False,False,100,False,1
native,shortcut,51000081,13.16293830696572,True,True,False,True,111,True,2
native,shortcut,51000082,13.16293830696572,True,True,False,True,111,True,2
native,shortcut,51000083,0.0,False,False,False,False,100,False,1
native,shortcut,51000084,0.0,False,False,False,False,100,False,1
native,shortcut,51000085,0.0,False,False,False,False,100,False,1
native,shortcut,51000086,0.0,False,False,False,False,100,False,1
native,shortcut,51000087,0.0,False,False,False,False,100,False,1
native,shortcut,51000088,13.16293830696572,True,True,False,True,111,True,2
native,shortcut,51000089,0.0,False,False,False,False,100,False,1
native,shortcut,51000090,0.0,False,False,False,False,100,False,1
native,shortcut,51000091,0.0,False,False,False,False,100,False,1
native,shortcut,51000092,13.16293830696572,True,True,False,True,111,True,2
native,shortcut,51000093,13.16293830696572,True,True,False,True,111,True,2
native,shortcut,51000094,0.0,False,False,False,False,100,False,1
native,shortcut,51000095,0.0,False,False,False,False,100,False,1
native,shortcut,51000096,13.16293830696572,True,True,False,True,111,True,2
native,shortcut,51000097,0.0,False,False,False,False,100,False,1
native,shortcut,51000098,0.0,False,False,False,False,100,False,1
native,shortcut,51000099,0.0,False,False,False,False,100,False,1
native,shortcut,51000100,0.0,False,False,False,False,100,False,1
native,shortcut,51000101,0.0,False,False,False,False,100,False,1
native,shortcut,51000102,13.16293830696572,True,True,False,True,111,True,2
native,shortcut,51000103,13.16293830696572,True,True,False,True,111,True,2
native,shortcut,51000104,13.16293830696572,True,True,False,True,111,True,2
native,shortcut,51000105,0.0,False,False,False,False,100,False,1
native,shortcut,51000106,0.0,False,False,False,False,100,False,1
native,shortcut,51000107,0.0,False,False,False,False,100,False,1
native,shortcut,51000108,0.0,False,False,False,False,100,False,1
native,shortcut,51000109,0.0,False,False,False,False,100,False,1
native,shortcut,51000110,13.16293830696572,True,True,False,True,111,True,2
native,shortcut,51000111,0.0,False,False,False,False,100,False,1
native,shortcut,51000112,0.0,False,False,False,False,100,False,1
native,shortcut,51000113,0.0,False,False,False,False,100,False,1
native,shortcut,51000114,0.0,False,False,False,False,100,False,1
native,shortcut,51000115,0.0,False,False,False,False,100,False,1
native,shortcut,51000116,0.0,False,False,False,False,100,False,1
native,shortcut,51000117,13.16293830696572,True,True,False,True,111,True,2
native,shortcut,51000118,0.0,False,False,False,False,100,False,1
native,shortcut,51000119,0.0,False,False,False,False,100,False,1
native,shortcut,51000120,0.0,False,False,False,False,100,False,1
native,shortcut,51000121,0.0,False,False,False,False,100,False,1
native,shortcut,51000122,0.0,False,False,False,False,100,False,1
native,shortcut,51000123,0.0,False,False,False,False,100,False,1
native,shortcut,51000124,0.0,False,False,False,False,100,False,1
native,shortcut,51000125,0.0,False,False,False,False,100,False,1
native,shortcut,51000126,13.16293830696572,True,True,False,True,111,True,2
native,shortcut,51000127,0.0,False,False,False,False,100,False,1
native,lower,51000000,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000001,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000002,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000003,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000004,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000005,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000006,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000007,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000008,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000009,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000010,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000011,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000012,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000013,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000014,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000015,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000016,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000017,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000018,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000019,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000020,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000021,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000022,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000023,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000024,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000025,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000026,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000027,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000028,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000029,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000030,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000031,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000032,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000033,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000034,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000035,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000036,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000037,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000038,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000039,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000040,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000041,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000042,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000043,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000044,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000045,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000046,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000047,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000048,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000049,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000050,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000051,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000052,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000053,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000054,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000055,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000056,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000057,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000058,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000059,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000060,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000061,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000062,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000063,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000064,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000065,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000066,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000067,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000068,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000069,11.066088688957908,True,True,True,False,11111,True,4
native,lower,51000070,11.066088688957908,True,True,True,False,11111,True,4
