case,episode_id,d_fatal,covered,d_safe,d_wc_to_fatal,selected_fatal_like,f_safe,f_fatal,f_wc,wc_z,wc_vxy,fatal_z,fatal_vxy
0,0,8.3455,0,0.5266,9.7322,0,-3.278,-18.068,-4.074,0.5298,1.3968,0.3823,0.0073
1,2,1.8271,1,0.5125,3.4346,0,-3.366,-23.14,-16.38,0.3602,0.2394,0.3796,0.0002
2,36,1.9452,1,0.3789,3.4696,0,-3.966,-18.397,-14.237,0.4185,0.2846,0.3796,0.0008
3,65,2.3253,1,0.5684,2.8616,1,-2.981,-22.899,-17.912,0.4074,0.2437,0.3796,0.0023
4,85,2.6518,1,0.6104,10.7085,0,-4.948,-24.232,-6.5,0.5912,1.014,0.3794,0.0036
5,147,3.7037,0,0.8853,3.7037,0,-5.653,-25.352,-11.519,0.4564,0.3793,0.4011,0.0581
6,194,2.815,1,0.4498,3.2443,0,-4.574,-25.247,-20.638,0.4568,0.1239,0.3795,0.0008
7,225,8.5348,0,0.6361,9.3367,0,-2.961,-23.747,-3.599,0.5389,1.3012,0.3796,0.0029
8,259,6.9689,0,0.9395,7.2202,0,-5.196,-19.989,-4.822,0.6306,1.1304,0.3994,0.0264
9,269,8.4969,0,0.6393,9.2052,0,-4.188,-22.099,-4.922,0.5603,0.3939,0.3794,0.0094
10,282,2.5864,1,0.6462,2.7252,1,-2.966,-20.554,-13.527,0.3693,0.3351,0.3804,0.0078
11,328,1.9826,1,0.6537,2.736,1,-2.775,-22.849,-13.422,0.3955,0.3509,0.3797,0.0024
12,362,6.9499,0,0.6338,8.3442,0,-3.05,-16.868,-5.046,0.6015,1.5981,0.4242,0.0361
13,368,2.7766,1,0.7025,3.4178,0,-4.816,-22.52,-18.114,0.4431,0.7304,0.4282,0.0258
14,372,6.1599,0,0.7113,7.1738,0,-4.808,-16.448,-5.128,0.5708,1.6208,0.4647,0.0281
15,374,1.7676,1,0.5466,2.2317,1,-3.606,-21.515,-20.099,0.3668,0.334,0.3795,0.0024
16,393,1.6046,1,0.8129,2.0575,1,-3.948,-20.257,-10.894,0.377,0.1606,0.3805,0.0012
17,422,2.1852,1,0.5301,2.8455,1,-4.027,-22.588,-17.328,0.3815,0.4104,0.3796,0.0001
18,479,6.9699,0,0.9948,7.805,0,-5.402,-13.798,-6.647,0.4825,0.9624,0.4539,0.0155
19,483,1.7685,1,0.5711,3.0287,1,-3.481,-22.129,-27.943,0.3631,0.2019,0.3796,0.0019
20,497,4.1296,0,0.5544,4.893,0,-3.847,-10.417,-13.949,0.3948,0.2752,0.4328,0.0116
21,498,4.1912,0,1.3955,6.8043,0,-3.359,-18.567,-4.521,0.5643,1.302,0.3936,0.0271
22,534,2.4779,1,0.5737,2.4779,1,-2.734,-24.222,-16.016,0.4028,0.1658,0.3796,0.0013
23,571,4.2287,0,0.6657,4.2287,0,-2.022,-21.736,-8.573,0.4408,1.0042,0.3798,0.0075
24,604,4.3263,0,0.686,4.4154,0,-4.213,-16.147,-9.179,0.375,0.5084,0.38,0.0118
25,641,7.9216,0,0.7855,8.9946,0,-3.477,-22.601,-5.423,0.512,1.0072,0.3796,0.0006
26,665,4.1894,0,0.5301,4.6146,0,-4.787,-12.534,-12.12,0.4182,0.26,0.4366,0.0637
27,672,3.2287,0,0.6176,3.7491,0,-2.9,-17.123,-10.16,0.3962,0.0759,0.3841,0.0553
28,673,3.7627,0,0.7074,7.4636,0,-2.752,-16.927,-6.234,0.525,1.6467,0.3798,0.0023
29,682,6.365,0,0.8903,9.1296,0,-3.189,-22.637,-3.9,0.5377,1.7699,0.3796,0.001
30,763,1.9962,1,0.637,2.3368,1,-2.746,-17.969,-10.294,0.3697,0.0853,0.3931,0.0234
31,771,3.509,0,0.6593,3.7479,0,-4.15,-15.737,-19.509,0.4165,0.1836,0.436,0.005
32,804,1.677,1,0.532,2.4494,1,-3.414,-17.418,-13.141,0.3447,0.1201,0.3796,0.0003
33,809,7.1535,0,0.6185,7.9322,0,-2.571,-18.974,-3.334,0.5887,0.9854,0.3843,0.0106
34,811,2.7488,1,0.5167,4.6684,0,-4.916,-18.275,-17.422,0.3893,0.2396,0.3798,0.0004
35,812,1.7371,1,0.4589,2.1925,1,-4.189,-17.318,-19.226,0.3833,0.1139,0.3795,0.0004
36,824,5.4574,0,0.7989,9.1282,0,-5.027,-22.762,-6.012,0.5305,0.73,0.4152,0.0097
37,835,6.1546,0,0.6885,8.6973,0,-4.612,-24.43,-5.576,0.5454,2.1316,0.3796,0.0002
38,842,2.2788,1,0.5693,2.7317,1,-3.666,-22.141,-19.256,0.4476,0.3616,0.4282,0.0345
