case,episode_id,covered,d_fatal@256,d_safe@256,d_fail_state,d_fail_state_action,d_fail_action_only,d_fail_k5,d_clean_state,nearest_failure_anchor_idx,fatal_delta_gap
0,0,0,8.3455,0.5266,1.568,1.7614,0.6434,2.1646,1.0048,40,3.5839
1,2,1,1.8271,0.5125,1.6427,1.9206,0.7798,1.8495,1.2369,136,2.901
2,36,1,1.9452,0.3789,1.7256,1.9922,0.6387,2.0086,0.8687,158,3.091
3,65,1,2.3253,0.5684,1.5857,1.688,0.4639,2.0271,1.0936,136,3.1741
4,85,1,2.6518,0.6104,1.9333,2.4622,1.0819,2.1576,1.2977,136,3.268
5,147,0,3.7037,0.8853,2.029,2.9073,1.0846,2.5881,1.7933,93,3.2039
6,194,1,2.815,0.4498,1.6933,1.9327,0.7687,2.3013,1.4512,27,3.8436
7,225,0,8.5348,0.6361,2.2528,2.6308,0.8332,2.7581,1.3333,146,5.5028
8,259,0,6.9689,0.9395,2.6525,2.9788,1.0371,3.1006,1.6108,44,3.7065
9,269,0,8.4969,0.6393,2.5756,3.0691,0.6692,3.0252,1.5501,187,6.0516
10,282,1,2.5864,0.6462,1.5389,1.807,0.4135,2.0075,0.7464,41,3.0142
11,328,1,1.9826,0.6537,1.7905,2.2816,0.6855,1.8885,0.9843,168,2.8221
12,362,0,6.9499,0.6338,2.0419,3.1475,1.2996,2.3901,0.7162,93,3.5631
13,368,1,2.7766,0.7025,1.4486,2.1776,0.9091,1.7467,1.3679,27,3.2589
14,372,0,6.1599,0.7113,3.2877,3.8227,0.698,3.5266,1.6231,187,6.8431
15,374,1,1.7676,0.5466,1.378,1.4929,0.1954,1.6966,0.8937,136,2.2108
16,393,1,1.6046,0.8129,1.445,1.6807,0.4707,1.7102,1.2635,167,2.5504
17,422,1,2.1852,0.5301,1.5864,1.8526,0.4201,1.8627,0.9152,124,3.341
18,479,0,6.9699,0.9948,3.0986,3.7395,0.8198,3.5558,1.6568,146,6.6545
19,483,1,1.7685,0.5711,0.9687,1.0852,0.4092,1.7865,1.111,27,1.9165
20,497,0,4.1296,0.5544,2.4089,2.7807,0.8171,2.5791,1.0784,57,8.6579
21,498,0,4.1912,1.3955,1.8963,2.4409,0.9081,2.3936,1.1618,53,3.6867
22,534,1,2.4779,0.5737,2.058,2.4507,0.6503,3.0286,1.4582,19,3.0391
23,571,0,4.2287,0.6657,3.2964,3.853,1.1921,3.768,1.3867,194,4.5473
24,604,0,4.3263,0.686,2.2617,2.494,0.6068,2.6241,1.4392,136,5.7208
25,641,0,7.9216,0.7855,2.4359,2.688,0.6268,2.5646,1.4363,52,9.2364
26,665,0,4.1894,0.5301,1.8203,2.4355,1.2406,2.0237,1.0839,142,5.3039
27,672,0,3.2287,0.6176,1.7115,2.2035,0.9209,2.1845,1.0683,71,3.3836
28,673,0,3.7627,0.7074,1.8627,2.5664,1.2702,2.21,1.0132,154,3.0395
29,682,0,6.365,0.8903,3.1688,3.6895,0.8027,3.6337,1.5707,194,5.1443
30,763,1,1.9962,0.637,1.7983,2.5448,1.2558,2.3348,1.2547,154,2.7805
31,771,0,3.509,0.6593,2.1257,2.3086,0.5957,2.2779,1.5155,159,5.0501
32,804,1,1.677,0.532,1.3861,1.8468,0.4984,1.6459,1.1091,135,2.1689
33,809,0,7.1535,0.6185,2.6196,2.8968,0.6256,2.9576,1.2759,89,6.0226
34,811,1,2.7488,0.5167,1.7627,2.1474,0.6305,1.9402,1.2801,57,7.5968
35,812,1,1.7371,0.4589,1.3497,1.7219,0.3459,1.6283,1.071,3,1.7811
36,824,0,5.4574,0.7989,2.613,2.9082,0.6328,2.7637,1.6383,146,6.7572
37,835,0,6.1546,0.6885,2.7476,3.1438,0.8529,3.8116,1.6427,194,4.2814
38,842,1,2.2788,0.5693,1.89,2.1565,0.6279,2.0588,1.2868,161,4.1768
