case,episode_id,d_fatal,covered,d_safe,d_wc_fatal,selected_fatal_like,category,f_safe,f_fatal,f_wc,wc_z,wc_vxy,fatal_z,fatal_vxy
0,10,2.5912,1,0.7372,4.7517,0,G1S0_real_miss,-4.216,-16.713,-14.59,0.3478,0.315,0.4202,0.0351
1,47,3.1347,1,0.5872,4.642,0,G1S0_real_miss,-4.375,-21.657,-26.572,0.3901,0.2333,0.4269,0.0082
2,60,3.8535,0,0.5749,4.809,0,G0_generator_miss,-5.512,-28.959,-26.391,0.4199,0.3916,0.4323,0.0238
3,95,2.9743,1,0.4019,3.388,0,G1S0_near_miss,-4.505,-21.082,-20.214,0.3779,0.0447,0.4224,0.0396
4,120,2.2993,1,1.0584,2.9618,1,G1S1_selector_success,-4.247,-20.17,-12.083,0.3826,0.5286,0.381,0.0044
5,180,2.1441,1,0.5586,3.658,0,G1S0_near_miss,-4.405,-17.659,-10.339,0.4038,0.4726,0.3968,0.0201
6,187,5.4006,0,0.6109,6.0811,0,G0_generator_miss,-5.291,-23.076,-23.347,0.4169,0.2289,0.4823,0.0447
7,201,2.1756,1,0.7545,2.5979,1,G1S1_selector_success,-4.767,-21.492,-18.31,0.4292,0.3744,0.3798,0.003
8,212,2.624,1,0.86,3.7197,0,G1S0_near_miss,-3.722,-24.768,-23.969,0.3978,0.4256,0.3797,0.0029
9,219,2.0092,1,0.9277,4.3344,0,G1S0_real_miss,-4.032,-24.382,-22.167,0.3287,0.3168,0.3796,0.0008
10,229,2.1319,1,0.6271,3.9419,0,G1S0_near_miss,-3.592,-25.552,-26.346,0.3545,0.6098,0.3796,0.0016
11,249,4.678,0,0.5769,6.5597,0,G0_generator_miss,-3.625,-20.956,-21.177,0.4607,0.6205,0.4449,0.0237
12,253,2.6749,1,0.5604,4.2435,0,G1S0_real_miss,-4.038,-23.276,-20.99,0.3792,0.3496,0.3795,0.0133
13,282,2.3549,1,0.6891,4.6203,0,G1S0_real_miss,-3.594,-20.123,-29.157,0.3624,0.3569,0.4079,0.0092
14,286,2.3952,1,0.754,3.6546,0,G1S0_near_miss,-3.737,-19.081,-8.066,0.4059,0.1373,0.3796,0.0025
15,311,3.2448,0,0.9718,3.2448,0,G0_generator_miss,-4.295,-30.64,-16.215,0.44,0.2568,0.3799,0.0003
16,366,2.1384,1,0.6549,4.4801,0,G1S0_real_miss,-4.462,-23.88,-24.369,0.3973,0.2258,0.3807,0.0062
17,369,2.4089,1,0.5558,2.4089,1,G1S1_selector_success,-3.46,-23.045,-16.235,0.3842,0.2261,0.402,0.0294
18,376,2.3908,1,0.555,3.2909,0,G1S0_near_miss,-3.308,-21.691,-26.732,0.3799,0.4228,0.4044,0.0121
19,387,1.9137,1,0.5465,2.1555,1,G1S1_selector_success,-3.049,-22.344,-16.899,0.3665,0.2173,0.3797,0.0014
20,405,2.4409,1,0.9836,4.8593,0,G1S0_real_miss,-2.153,-22.702,-21.92,0.3502,0.2786,0.3974,0.0102
21,408,2.4822,1,0.7129,4.3057,0,G1S0_real_miss,-3.093,-20.208,-18.491,0.4091,0.4807,0.4032,0.0067
22,431,3.2386,0,0.5324,3.5995,0,G0_generator_miss,-3.949,-21.023,-15.176,0.3862,0.4039,0.3797,0.0004
23,432,2.2402,1,0.5244,2.4553,1,G1S1_selector_success,-3.549,-20.42,-16.712,0.3641,0.1912,0.3829,0.0178
24,433,2.3911,1,0.8269,3.6688,0,G1S0_near_miss,-5.123,-25.865,-28.443,0.3888,0.6462,0.4227,0.0129
25,446,1.893,1,0.9706,2.2388,1,G1S1_selector_success,-2.947,-21.343,-12.167,0.385,0.3824,0.3794,0.0062
26,486,3.2914,0,0.5975,3.2914,0,G0_generator_miss,-6.41,-21.842,-14.855,0.4042,0.2691,0.3797,0.0007
