case,episode_id,category,best_available_d_fatal,d_wc_fatal,f_wc,f_fatal,score_below_true_fatal
0,10,G1S0_real_miss,2.5912,4.7517,-14.59,-16.713,False
1,47,G1S0_real_miss,3.1347,4.642,-26.572,-21.657,True
2,60,G0_generator_miss,3.8535,4.809,-26.391,-28.959,False
3,95,G1S0_near_miss,2.9743,3.388,-20.214,-21.082,False
5,180,G1S0_near_miss,2.1441,3.658,-10.339,-17.659,False
6,187,G0_generator_miss,5.4006,6.0811,-23.347,-23.076,True
8,212,G1S0_near_miss,2.624,3.7197,-23.969,-24.768,False
9,219,G1S0_real_miss,2.0092,4.3344,-22.167,-24.382,False
10,229,G1S0_near_miss,2.1319,3.9419,-26.346,-25.552,True
11,249,G0_generator_miss,4.678,6.5597,-21.177,-20.956,True
12,253,G1S0_real_miss,2.6749,4.2435,-20.99,-23.276,False
13,282,G1S0_real_miss,2.3549,4.6203,-29.157,-20.123,True
14,286,G1S0_near_miss,2.3952,3.6546,-8.066,-19.081,False
15,311,G0_generator_miss,3.2448,3.2448,-16.215,-30.64,False
16,366,G1S0_real_miss,2.1384,4.4801,-24.369,-23.88,True
18,376,G1S0_near_miss,2.3908,3.2909,-26.732,-21.691,True
20,405,G1S0_real_miss,2.4409,4.8593,-21.92,-22.702,False
21,408,G1S0_real_miss,2.4822,4.3057,-18.491,-20.208,False
22,431,G0_generator_miss,3.2386,3.5995,-15.176,-21.023,False
24,433,G1S0_near_miss,2.3911,3.6688,-28.443,-25.865,True
26,486,G0_generator_miss,3.2914,3.2914,-14.855,-21.842,False
28,517,G0_generator_miss,3.7561,8.7209,-3.847,-17.453,False
30,618,G1S0_real_miss,2.85,7.7669,-12.527,-25.484,False
32,640,G1S0_near_miss,2.6113,3.2026,-22.658,-19.822,True
33,644,G1S0_near_miss,2.5567,3.4698,-17.955,-25.54,False
34,712,G1S0_real_miss,2.2049,4.6243,-21.332,-24.769,False
35,741,G0_generator_miss,4.8899,5.2251,-10.888,-18.352,False
36,781,G1S0_near_miss,2.9135,3.4536,-14.563,-22.668,False
37,785,G0_generator_miss,3.8565,4.6695,-16.316,-18.082,False
39,809,G1S0_real_miss,2.7499,4.372,-28.89,-23.351,True
40,857,G0_generator_miss,3.9466,6.3004,-21.115,-14.171,True
44,923,G1S0_real_miss,2.0968,4.0996,-21.401,-22.404,False
45,936,G1S0_near_miss,2.2919,3.6501,-15.024,-18.889,False
48,994,G0_generator_miss,3.4856,5.8556,-26.689,-11.175,True
