d,delta_y,action_type,ax,ay,az,forward_progress,goal_improvement,lateral_disp,rot_change_deg,contact_steps,missed,fell
0.04,-0.04,matched_teacher,0.5104625225067139,0.9285568594932556,0.9999640583992004,0.0014509910003535076,0.002467797417182671,0.0025558198759982886,7.44413780233613,0,True,False
0.04,-0.04,opposite,0.5104625225067139,-0.9285568594932556,0.9999640583992004,0.052469687988888625,0.0020969760152645817,-0.03962986640951183,16.73162816863289,0,False,False
0.04,-0.04,mild_straight,1.0,0.0,0.0,0.039877548931288365,0.01207150391427958,-0.023913364982751983,10.213891976124414,0,False,False
0.04,0.04,matched_teacher,0.8407604694366455,-0.09323140978813171,0.9834960103034973,0.013194405638288886,0.005295924378328987,0.01032321582394613,2.2999160895244475,0,False,False
0.04,0.04,opposite,0.8407604694366455,0.09323140978813171,0.9834960103034973,0.03597987298406413,0.015465036215305483,0.016499456616462016,27.733648935856092,0,False,False
0.04,0.04,mild_straight,1.0,0.0,0.0,0.03663497779171587,0.014543704354459258,0.019089170955594925,14.056968705968455,2,False,False
0.05,-0.05,matched_teacher,0.34423017501831055,0.9854463338851929,0.9999815821647644,0.0,-6.111548768450437e-08,0.0,0.0,0,True,False
0.05,-0.05,opposite,0.34423017501831055,-0.9854463338851929,0.9999815821647644,0.022380969687337826,-0.032584889656308264,-0.06075281661137211,74.19846907670765,0,False,False
0.05,-0.05,mild_straight,1.0,0.0,0.0,0.0,-6.111548768450437e-08,0.0,0.0,1,True,False
0.05,0.05,matched_teacher,0.9345643520355225,0.07932164520025253,0.9771280884742737,0.0,-6.111548768450437e-08,0.0,0.0,0,True,False
0.05,0.05,opposite,0.9345643520355225,-0.07932164520025253,0.9771280884742737,0.0,-6.111548768450437e-08,0.0,0.0,0,True,False
0.05,0.05,mild_straight,1.0,0.0,0.0,0.0,-6.111548768450437e-08,0.0,0.0,1,True,False
0.06,-0.06,matched_teacher,0.13101547956466675,0.9988071918487549,0.9999933838844299,0.0,-5.735612573776194e-08,0.0,0.0,0,True,False
0.06,-0.06,opposite,0.13101547956466675,-0.9988071918487549,0.9999933838844299,0.00012143415164089788,0.00030755192960303657,0.0003442948494057907,1.3396311317809022,0,True,False
0.06,-0.06,mild_straight,1.0,0.0,0.0,0.0,-5.735612573776194e-08,0.0,0.0,0,True,False
0.06,0.06,matched_teacher,0.9819793701171875,0.4301583468914032,0.9690828919410706,0.0,-5.735612573776194e-08,0.0,0.0,0,True,False
0.06,0.06,opposite,0.9819793701171875,-0.4301583468914032,0.9690828919410706,0.0,-5.735612573776194e-08,0.0,0.0,0,True,False
0.06,0.06,mild_straight,1.0,0.0,0.0,0.0,-5.735612573776194e-08,0.0,0.0,0,True,False
0.07,-0.07,matched_teacher,0.1729712337255478,0.9999380111694336,0.9999978542327881,0.0,-5.369724072334936e-08,0.0,0.0,0,True,False
0.07,-0.07,opposite,0.1729712337255478,-0.9999380111694336,0.9999978542327881,0.0,-5.369724072334936e-08,0.0,0.0,0,True,False
0.07,-0.07,mild_straight,1.0,0.0,0.0,0.0,-5.369724072334936e-08,0.0,0.0,0,True,False
0.07,0.07,matched_teacher,0.9958372712135315,0.8437339067459106,0.960097074508667,0.0,-5.369724072334936e-08,0.0,0.0,0,True,False
0.07,0.07,opposite,0.9958372712135315,-0.8437339067459106,0.960097074508667,0.0,-5.369724072334936e-08,0.0,0.0,0,True,False
0.07,0.07,mild_straight,1.0,0.0,0.0,0.0,-5.369724072334936e-08,0.0,0.0,0,True,False
