run,ep,unique_cells,bfs_span,boundary_crossings,crosses_2_boundaries,corner_passage,detour_segment,start_end_bfs
d4rl,0,5,4,10,True,True,True,4
d4rl,1,5,4,4,True,True,True,4
d4rl,2,6,5,5,True,True,True,5
d4rl,3,6,5,7,True,True,True,5
d4rl,4,7,6,11,True,True,True,5
d4rl,5,7,6,12,True,True,True,6
d4rl,6,6,5,5,True,True,True,5
d4rl,7,7,6,6,True,True,True,6
d4rl,8,3,2,2,True,False,False,2
d4rl,9,6,5,5,True,True,True,5
d4rl,10,6,5,7,True,True,True,5
d4rl,11,7,6,27,True,True,True,5
d4rl,12,7,6,7,True,True,True,5
d4rl,13,7,6,6,True,True,True,6
d4rl,14,7,6,40,True,True,True,6
d4rl,15,7,6,12,True,True,True,6
d4rl,16,7,6,21,True,True,True,5
d4rl,17,7,6,26,True,True,True,6
d4rl,18,7,6,6,True,True,True,6
d4rl,19,7,6,12,True,True,True,6
d4rl,20,6,5,5,True,True,True,5
d4rl,21,7,6,7,True,True,True,5
d4rl,22,7,6,9,True,True,True,5
d4rl,23,6,5,5,True,True,True,5
d4rl,24,5,4,4,True,True,True,4
d4rl,25,7,6,6,True,True,True,6
d4rl,26,6,5,6,True,True,True,4
d4rl,27,7,6,6,True,True,True,6
d4rl,28,7,6,21,True,True,True,5
d4rl,29,6,5,7,True,True,True,5
d4rl,30,6,5,5,True,True,True,5
d4rl,31,6,5,5,True,True,True,5
d4rl,32,7,6,6,True,True,True,6
d4rl,33,6,5,7,True,True,True,5
d4rl,34,3,2,3,True,False,False,1
d4rl,35,7,6,16,True,True,True,6
d4rl,36,7,6,14,True,True,True,6
d4rl,37,7,6,8,True,True,True,6
d4rl,38,7,6,8,True,True,True,6
d4rl,39,5,4,6,True,True,True,4
d4rl,40,7,6,8,True,True,True,6
d4rl,41,6,5,5,True,True,True,5
d4rl,42,7,6,6,True,True,True,6
d4rl,43,6,5,5,True,True,True,5
d4rl,44,7,6,11,True,True,True,5
d4rl,45,2,1,1,False,False,False,1
d4rl,46,7,6,43,True,True,True,5
d4rl,47,6,5,21,True,True,True,5
d4rl,48,7,6,22,True,True,True,6
d4rl,49,5,4,4,True,True,True,4
d4rl,50,6,5,8,True,True,True,4
d4rl,51,7,6,29,True,True,True,5
d4rl,52,2,1,1,False,False,False,1
d4rl,53,7,6,6,True,True,True,6
d4rl,54,7,6,20,True,True,True,6
d4rl,55,5,4,4,True,True,True,4
d4rl,56,7,6,6,True,True,True,6
d4rl,57,3,2,2,True,False,False,2
d4rl,58,7,6,35,True,True,True,5
d4rl,59,2,1,1,False,False,False,1
d4rl,60,5,4,4,True,True,True,4
d4rl,61,6,5,8,True,True,True,4
d4rl,62,7,6,18,True,True,True,6
d4rl,63,5,4,4,True,True,True,4
d4rl,64,7,6,10,True,True,True,6
d4rl,65,7,6,9,True,True,True,5
d4rl,66,7,6,39,True,True,True,5
d4rl,67,7,6,11,True,True,True,5
d4rl,68,7,6,6,True,True,True,6
d4rl,69,6,5,7,True,True,True,5
d4rl,70,7,6,15,True,True,True,5
d4rl,71,7,6,22,True,True,True,6
d4rl,72,7,6,11,True,True,True,5
d4rl,73,7,6,11,True,True,True,5
d4rl,74,7,6,24,True,True,True,6
d4rl,75,3,2,2,True,False,False,2
d4rl,76,6,5,5,True,True,True,5
d4rl,77,7,6,13,True,True,True,5
d4rl,78,7,6,6,True,True,True,6
d4rl,79,7,6,14,True,True,True,6
d4rl,80,7,6,13,True,True,True,5
d4rl,81,7,6,6,True,True,True,6
d4rl,82,6,5,5,True,True,True,5
d4rl,83,6,5,7,True,True,True,5
d4rl,84,7,6,15,True,True,True,5
d4rl,85,7,6,34,True,True,True,6
d4rl,86,7,6,37,True,True,True,5
d4rl,87,6,5,7,True,True,True,5
d4rl,88,7,6,10,True,True,True,6
d4rl,89,6,5,9,True,True,True,5
d4rl,90,6,5,7,True,True,True,5
d4rl,91,6,5,5,True,True,True,5
d4rl,92,7,6,10,True,True,True,6
d4rl,93,7,6,8,True,True,True,6
d4rl,94,6,5,7,True,True,True,5
d4rl,95,7,6,9,True,True,True,5
d4rl,96,6,5,5,True,True,True,5
d4rl,97,7,6,38,True,True,True,6
d4rl,98,7,6,12,True,True,True,6
d4rl,99,7,6,13,True,True,True,5
d4rl,100,7,6,11,True,True,True,5
d4rl,101,7,6,45,True,True,True,5
d4rl,102,7,6,10,True,True,True,6
d4rl,103,7,6,18,True,True,True,6
d4rl,104,7,6,6,True,True,True,6
d4rl,105,6,5,7,True,True,True,5
d4rl,106,7,6,6,True,True,True,6
d4rl,107,6,5,5,True,True,True,5
d4rl,108,7,6,21,True,True,True,5
d4rl,109,7,6,22,True,True,True,6
d4rl,110,7,6,27,True,True,True,5
d4rl,111,7,6,13,True,True,True,5
d4rl,112,7,6,13,True,True,True,5
d4rl,113,5,4,4,True,True,True,4
d4rl,114,7,6,33,True,True,True,5
d4rl,115,6,5,5,True,True,True,5
d4rl,116,5,4,6,True,True,True,4
d4rl,117,6,5,10,True,True,True,4
d4rl,118,7,6,26,True,True,True,6
d4rl,119,7,6,42,True,True,True,6
d4rl,120,6,5,5,True,True,True,5
d4rl,121,7,6,31,True,True,True,5
d4rl,122,7,6,8,True,True,True,6
d4rl,123,7,6,14,True,True,True,6
d4rl,124,7,6,6,True,True,True,6
d4rl,125,7,6,10,True,True,True,6
d4rl,126,7,6,7,True,True,True,5
d4rl,127,6,5,7,True,True,True,5
d4rl,128,7,6,11,True,True,True,5
d4rl,129,7,6,24,True,True,True,6
d4rl,130,7,6,18,True,True,True,6
d4rl,131,7,6,17,True,True,True,5
d4rl,132,6,5,9,True,True,True,5
d4rl,133,7,6,26,True,True,True,6
d4rl,134,7,6,6,True,True,True,6
d4rl,135,7,6,9,True,True,True,5
d4rl,136,4,3,3,True,True,False,3
d4rl,137,5,4,4,True,True,True,4
d4rl,138,7,6,17,True,True,True,5
d4rl,139,3,2,2,True,False,False,2
d4rl,140,7,6,26,True,True,True,6
d4rl,141,7,6,39,True,True,True,5
d4rl,142,2,1,1,False,False,False,1
d4rl,143,7,6,20,True,True,True,6
d4rl,144,7,6,19,True,True,True,5
d4rl,145,7,6,17,True,True,True,5
d4rl,146,7,6,8,True,True,True,6
d4rl,147,7,6,6,True,True,True,6
d4rl,148,7,6,20,True,True,True,6
d4rl,149,7,6,37,True,True,True,5
d4rl,150,7,6,41,True,True,True,5
d4rl,151,7,6,12,True,True,True,6
d4rl,152,7,6,14,True,True,True,6
d4rl,153,7,6,15,True,True,True,5
d4rl,154,7,6,13,True,True,True,5
d4rl,155,6,5,6,True,True,True,4
d4rl,156,7,6,17,True,True,True,5
d4rl,157,7,6,41,True,True,True,5
d4rl,158,7,6,24,True,True,True,6
d4rl,159,7,6,12,True,True,True,6
d4rl,160,7,6,8,True,True,True,6
d4rl,161,2,1,1,False,False,False,1
d4rl,162,7,6,19,True,True,True,5
d4rl,163,7,6,8,True,True,True,6
d4rl,164,7,6,9,True,True,True,5
d4rl,165,7,6,19,True,True,True,5
d4rl,166,6,5,5,True,True,True,5
d4rl,167,7,6,15,True,True,True,5
d4rl,168,7,6,11,True,True,True,5
d4rl,169,7,6,33,True,True,True,5
d4rl,170,6,5,6,True,True,True,4
d4rl,171,7,6,19,True,True,True,5
d4rl,172,7,6,20,True,True,True,6
d4rl,173,7,6,19,True,True,True,5
d4rl,174,7,6,36,True,True,True,6
d4rl,175,7,6,16,True,True,True,6
d4rl,176,7,6,10,True,True,True,6
d4rl,177,7,6,8,True,True,True,6
d4rl,178,7,6,15,True,True,True,5
d4rl,179,7,6,18,True,True,True,6
d4rl,180,7,6,14,True,True,True,6
d4rl,181,7,6,44,True,True,True,6
d4rl,182,7,6,37,True,True,True,5
d4rl,183,4,3,8,True,True,False,2
d4rl,184,7,6,28,True,True,True,6
d4rl,185,7,6,12,True,True,True,6
d4rl,186,7,6,10,True,True,True,6
