s1_k0 batch 1/9 saved; no outcome analysis
s1_k0 batch 2/9 saved; no outcome analysis
s1_k0 batch 3/9 saved; no outcome analysis
s1_k0 batch 4/9 saved; no outcome analysis
s1_k0 batch 5/9 saved; no outcome analysis
s1_k0 batch 6/9 saved; no outcome analysis
s1_k0 batch 7/9 saved; no outcome analysis
s1_k0 batch 8/9 saved; no outcome analysis
s1_k0 batch 9/9 saved; no outcome analysis
s0_k2 batch 1/9 saved; no outcome analysis
s0_k2 batch 2/9 saved; no outcome analysis
s0_k2 batch 3/9 saved; no outcome analysis
s0_k2 batch 4/9 saved; no outcome analysis
s0_k2 batch 5/9 saved; no outcome analysis
s0_k2 batch 6/9 saved; no outcome analysis
s0_k2 batch 7/9 saved; no outcome analysis
s0_k2 batch 8/9 saved; no outcome analysis
s0_k2 batch 9/9 saved; no outcome analysis
