episode,shift_l2,f1_safe,f1_fatal,f2_safe,f2_fatal,fmin_safe,fmin_fatal,delta_fmin
0,0.7493,-3.0284,-13.4417,-3.5079,-14.7872,-3.5079,-14.7872,11.2794
2,0.8444,-3.0827,-18.2827,-3.4164,-22.5414,-3.4164,-22.5414,19.1249
36,0.3822,-4.0685,-16.9605,-2.2847,-19.3775,-4.0685,-19.3775,15.3090
65,0.6706,-3.1412,-18.8370,-2.6574,-22.9522,-3.1412,-22.9522,19.8111
85,0.5850,-2.0697,-16.6722,-4.2257,-24.1795,-4.2257,-24.1795,19.9537
147,1.6085,-3.9286,-20.5990,-3.9463,-21.8291,-3.9463,-21.8291,17.8828
194,1.0549,-3.5364,-23.5640,-4.7046,-25.3272,-4.7046,-25.3272,20.6226
225,1.2620,-2.0156,-21.3091,-4.2328,-23.4602,-4.2328,-23.4602,19.2274
259,1.0886,-5.0479,-19.8698,-3.6101,-12.5124,-5.0479,-19.8698,14.8218
269,0.8101,-4.5110,-25.5156,-4.6136,-23.4007,-4.6136,-25.5156,20.9020
282,0.8530,-1.9974,-16.9755,-0.7677,-21.2039,-1.9974,-21.2039,19.2066
328,1.3553,-2.7078,-16.4324,-3.2758,-25.2711,-3.2758,-25.2711,21.9953
362,1.3395,-1.9061,-11.4805,-2.4874,-12.5573,-2.4874,-12.5573,10.0699
368,1.9818,-3.5851,-15.8527,-3.7564,-19.1382,-3.7564,-19.1382,15.3818
372,1.1155,-2.6810,-20.3631,-3.9319,-16.6830,-3.9319,-20.3631,16.4311
374,0.3642,-3.8885,-18.1319,-2.8436,-21.7431,-3.8885,-21.7431,17.8546
393,0.9498,-3.1548,-16.6477,-3.4003,-21.2712,-3.4003,-21.2712,17.8709
422,0.4842,-4.5018,-18.6377,-3.4891,-21.3406,-4.5018,-21.3406,16.8388
479,0.4066,-2.4830,-14.2453,-5.3609,-15.6515,-5.3609,-15.6515,10.2907
483,0.8412,-3.0390,-19.0136,-3.5872,-21.7131,-3.5872,-21.7131,18.1258
497,1.2743,-3.7381,-10.6270,-5.0472,-15.0295,-5.0472,-15.0295,9.9823
498,1.3882,-3.1775,-14.0634,-4.3327,-16.8593,-4.3327,-16.8593,12.5265
534,0.9282,-1.4688,-24.2444,-3.3517,-23.2329,-3.3517,-24.2444,20.8927
571,1.3219,-1.0624,-24.0622,-2.3306,-21.9296,-2.3306,-24.0622,21.7315
604,0.4172,-2.7577,-11.5470,-3.8745,-17.0563,-3.8745,-17.0563,13.1818
641,1.0985,-3.7884,-17.0546,-4.5060,-20.2462,-4.5060,-20.2462,15.7402
665,2.3908,-5.2065,-14.3640,-3.7129,-14.0523,-5.2065,-14.3640,9.1575
672,1.1309,-0.4881,-15.6783,0.0548,-19.2758,-0.4881,-19.2758,18.7877
673,1.1032,-1.9951,-15.8979,-3.1393,-18.5390,-3.1393,-18.5390,15.3996
682,0.8759,-2.3925,-25.7602,-2.8444,-21.8300,-2.8444,-25.7602,22.9159
763,1.4259,-2.4160,-19.7230,-3.2717,-21.3474,-3.2717,-21.3474,18.0758
771,1.1723,-2.7123,-15.3096,-4.1902,-16.8981,-4.1902,-16.8981,12.7079
804,0.6476,-4.3141,-17.0803,-2.7580,-17.3293,-4.3141,-17.3293,13.0152
809,0.8341,-1.8764,-15.8217,-2.8174,-20.1614,-2.8174,-20.1614,17.3440
811,0.8943,-3.9450,-14.6525,-5.1585,-23.3760,-5.1585,-23.3760,18.2175
812,0.6704,-3.3927,-20.8081,-1.5664,-19.3519,-3.3927,-20.8081,17.4154
824,0.7511,-3.1517,-19.5604,-5.9406,-23.7098,-5.9406,-23.7098,17.7692
835,1.0653,-4.5706,-21.9233,-3.7271,-25.1536,-4.5706,-25.1536,20.5830
842,1.0901,-4.4767,-21.0094,-4.3962,-23.7957,-4.4767,-23.7957,19.3190
