group,ep,t,x,y,z,a01_best__f1,a01_best__f2,a01_best__f_min,a01_best__f_mean,a0_best__f1,a0_best__f2,a0_best__f_min,a0_best__f_mean
bad_k0,100000,24,2.6874,1.1106,0.5541,-13.45866,-17.00589,-17.00589,-15.23227,-7.16601,-22.28321,-22.28321,-14.72461
bad_k0,100001,30,2.6896,1.0054,0.5708,-13.90975,-17.42377,-17.42377,-15.66676,-11.10786,-22.38171,-22.38171,-16.74479
bad_k0,100002,24,2.6585,1.1598,0.5080,-13.79194,-18.91830,-18.91830,-16.35512,-14.76419,-24.17809,-24.17809,-19.47114
bad_k0,100003,28,2.7499,1.0729,0.5491,-16.73195,-18.59076,-18.59076,-17.66135,-12.73467,-22.74885,-22.74885,-17.74176
bad_k0,100004,26,2.7869,1.0690,0.5059,-14.68724,-17.15328,-17.15328,-15.92026,-10.83214,-22.48612,-22.48612,-16.65913
bad_k0,100005,62,4.0867,-1.0211,0.5100,-7.05677,-9.24727,-9.24727,-8.15202,-11.93255,-13.01968,-13.01968,-12.47612
bad_k0,100006,50,4.6137,-1.0246,0.4815,-9.90663,-10.72845,-10.72845,-10.31754,-11.71856,-14.62010,-14.62010,-13.16933
bad_k0,100007,28,2.7235,1.0923,0.5289,-11.54195,-16.55061,-16.55061,-14.04628,-6.15040,-24.82716,-24.82716,-15.48878
bad_k0,100008,34,3.2251,-1.0614,0.5328,-11.14400,-10.21677,-11.14400,-10.68038,-11.45763,-12.26214,-12.26214,-11.85989
bad_k0,100009,24,2.7108,1.1163,0.5535,-15.05689,-17.74529,-17.74529,-16.40109,-13.37255,-19.69523,-19.69523,-16.53389
bad_k0,100010,49,4.6583,-1.1056,0.4612,-11.96357,-12.48480,-12.48480,-12.22418,-8.89035,-14.22765,-14.22765,-11.55900
bad_k0,100011,25,2.6183,1.0346,0.5606,-14.51058,-20.74109,-20.74109,-17.62584,-14.76497,-29.29897,-29.29897,-22.03197
bad_k0,100012,54,4.7729,-1.0532,0.4749,-8.42291,-10.20090,-10.20090,-9.31190,-5.29928,-11.42561,-11.42561,-8.36245
bad_k0,100013,41,3.2118,-1.0291,0.4753,-10.49696,-12.55852,-12.55852,-11.52774,-12.96607,-14.68133,-14.68133,-13.82370
bad_k0,100014,24,2.6233,1.1056,0.5548,-9.89095,-13.00203,-13.00203,-11.44649,-11.74373,-22.93447,-22.93447,-17.33910
bad_k0,100015,25,2.7173,1.0052,0.5090,-14.26193,-19.25728,-19.25728,-16.75960,-18.31482,-23.83763,-23.83763,-21.07623
bad_k0,100016,50,4.5234,-1.1276,0.6189,-7.51452,-8.98612,-8.98612,-8.25032,-14.10812,-17.68494,-17.68494,-15.89653
bad_k0,100017,29,2.7321,1.0688,0.5431,-12.91684,-18.18191,-18.18191,-15.54938,-11.78316,-28.08845,-28.08845,-19.93580
bad_k0,100018,33,2.6700,1.0281,0.5719,-13.73379,-12.32708,-13.73379,-13.03044,-9.61145,-22.12683,-22.12683,-15.86914
bad_k0,100019,33,2.7793,1.1097,0.5128,-11.53066,-19.28695,-19.28695,-15.40881,-8.27067,-24.53195,-24.53195,-16.40131
bad_k0,100020,24,2.7026,1.0976,0.5629,-13.74797,-17.85657,-17.85657,-15.80227,-7.71067,-24.86535,-24.86535,-16.28801
bad_k0,100021,25,2.5988,1.0659,0.5471,-9.79704,-13.64812,-13.64812,-11.72258,-12.62131,-26.13369,-26.13369,-19.37750
bad_k0,100022,52,4.5306,-1.0234,0.4988,-9.61493,-8.81605,-9.61493,-9.21549,-9.94714,-9.01396,-9.94714,-9.48055
bad_k0,100023,78,5.1202,-1.0377,0.4928,-7.58696,-9.47562,-9.47562,-8.53129,-10.63163,-14.15123,-14.15123,-12.39143
bad_k0,100024,42,4.1235,0.9267,0.5871,-10.32945,-22.95060,-22.95060,-16.64002,-8.14572,-30.46866,-30.46866,-19.30719
bad_k0,100025,30,3.1773,-1.0791,0.5246,-10.30021,-9.54210,-10.30021,-9.92116,-13.53622,-12.28474,-13.53622,-12.91048
bad_k0,100026,29,2.6362,1.1047,0.5688,-14.21887,-15.53617,-15.53617,-14.87752,-10.79400,-22.11769,-22.11769,-16.45584
bad_k0,100027,34,2.8634,1.0105,0.5216,-10.26430,-13.57672,-13.57672,-11.92051,-8.63271,-23.81537,-23.81537,-16.22404
bad_k0,100028,30,2.6154,1.0311,0.5194,-13.26933,-14.99468,-14.99468,-14.13200,-8.18012,-20.95229,-20.95229,-14.56621
bad_k0,100029,48,4.7075,-1.1621,0.4641,-5.15704,-9.55826,-9.55826,-7.35765,-4.45146,-9.63943,-9.63943,-7.04545
bad_k0,100030,35,3.2068,-1.0709,0.4624,-9.04962,-10.30459,-10.30459,-9.67710,-10.50026,-12.54811,-12.54811,-11.52419
bad_k0,100031,30,2.6791,1.0777,0.5196,-11.90140,-17.86701,-17.86701,-14.88421,-8.41394,-26.92226,-26.92226,-17.66810
bad_k0,100032,36,2.9867,1.0130,0.5658,-11.35720,-16.06365,-16.06365,-13.71042,-8.40067,-20.58070,-20.58070,-14.49068
bad_k0,100033,29,2.7046,1.0488,0.5483,-12.02442,-16.20680,-16.20680,-14.11561,-10.02840,-23.11019,-23.11019,-16.56929
bad_k0,100034,42,3.3729,-1.0138,0.4350,-9.88423,-8.04622,-9.88423,-8.96522,-14.30969,-16.44855,-16.44855,-15.37912
bad_k0,100035,34,3.3387,-1.0681,0.4604,-11.00086,-12.19599,-12.19599,-11.59842,-14.30847,-12.50253,-14.30847,-13.40550
bad_k0,100036,32,2.8098,1.2480,0.5131,-12.85190,-19.13782,-19.13782,-15.99486,-5.46209,-25.97851,-25.97851,-15.72030
bad_k0,100037,28,2.8126,0.9122,0.5480,-12.69866,-17.11710,-17.11710,-14.90788,-14.35958,-23.02130,-23.02130,-18.69044
bad_k0,100038,49,4.6511,-0.9316,0.6306,-7.51649,-11.28889,-11.28889,-9.40269,-10.88137,-14.11138,-14.11138,-12.49637
bad_k0,100039,48,4.6343,-1.0729,0.5144,-11.24099,-12.57939,-12.57939,-11.91019,-10.94753,-17.43224,-17.43224,-14.18989
bad_k0,100040,43,4.5404,-1.1401,0.5011,-9.70839,-15.96608,-15.96608,-12.83723,-14.26565,-20.30429,-20.30429,-17.28497
bad_k0,100041,29,2.8515,1.1479,0.5229,-10.13379,-16.08709,-16.08709,-13.11044,-6.58231,-22.85944,-22.85944,-14.72088
bad_k0,100042,47,4.5170,-1.1331,0.5220,-9.93518,-10.22106,-10.22106,-10.07812,-15.33870,-14.31628,-15.33870,-14.82749
bad_k0,100043,32,2.6502,1.2127,0.5322,-5.89656,-16.54501,-16.54501,-11.22079,-8.16595,-18.85912,-18.85912,-13.51253
bad_k0,100044,24,2.6013,1.0717,0.5694,-13.99190,-16.56198,-16.56198,-15.27694,-11.91166,-21.83529,-21.83529,-16.87348
bad_k0,100045,25,2.6556,1.0126,0.5198,-11.63043,-17.32473,-17.32473,-14.47758,-14.51280,-19.53138,-19.53138,-17.02209
bad_k0,100046,48,4.4514,-1.0197,0.5074,-12.48850,-13.56003,-13.56003,-13.02426,-14.50898,-14.41046,-14.50898,-14.45972
bad_k0,100047,25,2.7199,1.0178,0.5108,-17.10447,-17.60364,-17.60364,-17.35406,-11.97484,-21.20301,-21.20301,-16.58892
bad_k0,100048,33,3.2294,-1.0059,0.4722,-9.51290,-9.88313,-9.88313,-9.69801,-14.20837,-13.16878,-14.20837,-13.68857
bad_k0,100049,32,2.7844,1.0122,0.5764,-13.43906,-13.33815,-13.43906,-13.38861,-12.01289,-19.98013,-19.98013,-15.99651
bad_k0,100050,94,5.4723,-1.0126,0.4917,-11.26660,-10.54575,-11.26660,-10.90617,-11.30112,-17.78667,-17.78667,-14.54390
bad_k0,100051,29,2.6807,1.0945,0.5339,-9.42977,-14.72562,-14.72562,-12.07770,-13.86281,-20.49108,-20.49108,-17.17694
bad_k0,100052,31,2.7483,1.0608,0.6054,-10.99221,-15.22525,-15.22525,-13.10873,-7.56064,-18.46535,-18.46535,-13.01300
