pair,episode_id,f1_safe,f1_fatal,f2_safe,f2_fatal,fmin_safe,fmin_fatal,delta_fmin
0,0,-1.71317,-2.66356,-0.73262,-3.12272,-1.71317,-3.12272,1.40955
1,2,-5.10341,-6.52899,-3.33851,-6.20221,-5.10341,-6.52899,1.42557
2,36,-2.78638,-3.34577,-3.15985,-5.10269,-3.15985,-5.10269,1.94284
3,65,-2.71998,-6.56270,-1.93721,-6.04392,-2.71998,-6.56270,3.84272
4,85,-4.21636,-3.09370,-4.76136,-5.92523,-4.76136,-5.92523,1.16386
5,147,-2.03041,-0.79277,-3.51822,-3.87707,-3.51822,-3.87707,0.35886
6,194,-4.27478,-3.57728,-4.59617,-3.79533,-4.59617,-3.79533,-0.80084
7,225,-2.82039,-2.50783,-2.95964,-3.32275,-2.95964,-3.32275,0.36311
8,259,-3.29204,-3.46831,-3.21510,-2.86818,-3.29204,-3.46831,0.17627
9,269,-3.90649,-2.70064,-4.32308,-4.55743,-4.32308,-4.55743,0.23435
10,282,-2.31951,-3.35422,-3.33133,-2.93995,-3.33133,-3.35422,0.02290
11,328,-3.11597,-6.19011,-2.52099,-3.79697,-3.11597,-6.19011,3.07414
12,362,-3.41370,-3.91042,-4.57920,-3.53560,-4.57920,-3.91042,-0.66878
13,368,-3.49330,-2.40038,-4.63532,-5.21645,-4.63532,-5.21645,0.58113
14,372,-4.58665,-5.23794,-4.95536,-5.42356,-4.95536,-5.42356,0.46820
15,374,-3.61833,-6.17783,-2.43765,-4.11853,-3.61833,-6.17783,2.55950
16,393,-4.11861,-4.14372,-3.23639,-4.35546,-4.11861,-4.35546,0.23685
17,422,-4.84625,-5.86741,-3.25115,-7.02744,-4.84625,-7.02744,2.18119
18,479,-4.46372,-5.18916,-2.58157,-3.99811,-4.46372,-5.18916,0.72543
19,483,-4.39518,-3.38523,-4.54938,-5.97069,-4.54938,-5.97069,1.42131
20,497,-1.45431,-4.26482,-2.01927,-2.50951,-2.01927,-4.26482,2.24555
21,498,-2.90261,-2.37170,-4.14682,-4.25155,-4.14682,-4.25155,0.10473
22,534,-2.84094,-3.16314,-0.02877,-2.77033,-2.84094,-3.16314,0.32219
23,571,-3.70791,-1.56690,-3.00804,-4.86551,-3.70791,-4.86551,1.15759
24,604,-2.77599,-5.89798,-8.55810,-10.41620,-8.55810,-10.41620,1.85810
25,641,-3.04159,-3.10426,-1.46520,-4.69106,-3.04159,-4.69106,1.64947
26,665,-3.22635,-2.32315,-4.40000,-6.34426,-4.40000,-6.34426,1.94426
27,672,-3.12506,-1.44894,-4.51012,-3.08829,-4.51012,-3.08829,-1.42182
28,673,-5.29883,-1.63078,-3.76775,-2.05483,-5.29883,-2.05483,-3.24401
29,682,-3.41430,-3.04117,-3.89096,-3.77828,-3.89096,-3.77828,-0.11268
30,763,-7.03194,-0.74180,-2.46314,-3.25088,-7.03194,-3.25088,-3.78106
31,771,-2.73321,-2.31285,-3.37214,-2.97868,-3.37214,-2.97868,-0.39346
32,804,-3.46417,-2.92135,-2.76772,-3.91826,-3.46417,-3.91826,0.45408
33,809,-3.61221,-3.36841,-1.89613,-4.45339,-3.61221,-4.45339,0.84119
34,811,-4.45419,-9.29413,-4.05154,-4.03144,-4.45419,-9.29413,4.83994
35,812,-3.84701,-5.02483,-4.73867,-6.27542,-4.73867,-6.27542,1.53674
36,824,-4.02280,-3.63816,-2.20246,-3.31731,-4.02280,-3.63816,-0.38464
37,835,-5.11899,-2.11400,-4.13859,-4.63281,-5.11899,-4.63281,-0.48619
38,842,-3.61153,-3.76817,-2.92702,-2.81547,-3.61153,-3.76817,0.15663
