pair,episode_id,f1_safe,f1_fatal,f2_safe,f2_fatal,fmin_safe,fmin_fatal,delta_fmin
0,0,-3.12149,-3.17041,-3.13511,-3.10712,-3.13511,-3.17041,0.03530
1,2,-3.97033,-3.58660,-3.81608,-5.35727,-3.97033,-5.35727,1.38694
2,36,-3.45890,-2.65986,-3.57553,-3.56467,-3.57553,-3.56467,-0.01086
3,65,-3.69004,-3.83699,-2.90171,-5.07718,-3.69004,-5.07718,1.38714
4,85,-3.56339,-1.99770,-2.68980,-2.70519,-3.56339,-2.70519,-0.85820
5,147,-2.61276,-5.06980,-1.94499,-1.47068,-2.61276,-5.06980,2.45704
6,194,-4.06021,-3.53809,-3.20479,-2.09853,-4.06021,-3.53809,-0.52211
7,225,-3.65654,-2.74272,-3.88146,-3.84003,-3.88146,-3.84003,-0.04142
8,259,-3.86740,-4.09634,-5.89016,-6.18180,-5.89016,-6.18180,0.29164
9,269,-3.05847,-2.34098,-3.31053,-2.49323,-3.31053,-2.49323,-0.81730
10,282,-6.62714,-1.50129,-4.44989,-1.80745,-6.62714,-1.80745,-4.81968
11,328,-1.60654,-4.51003,-1.88354,-2.59909,-1.88354,-4.51003,2.62649
12,362,-2.99750,-2.26950,-3.36990,-2.97921,-3.36990,-2.97921,-0.39068
13,368,-3.46478,-2.46754,-4.01871,-2.81478,-4.01871,-2.81478,-1.20392
14,372,-2.64041,-1.88431,-3.05691,-2.63669,-3.05691,-2.63669,-0.42022
15,374,-3.19409,-2.63211,-2.59426,-3.43978,-3.19409,-3.43978,0.24570
16,393,-4.02949,-2.65435,-3.52921,-1.68107,-4.02949,-2.65435,-1.37513
17,422,-3.58716,-3.20392,-3.03255,-4.69258,-3.58716,-4.69258,1.10542
18,479,-2.84081,-2.85651,-2.86163,-4.41293,-2.86163,-4.41293,1.55130
19,483,-3.67140,-4.05631,-3.30283,-3.48374,-3.67140,-4.05631,0.38491
20,497,-3.93309,-8.53035,-1.93381,-5.20442,-3.93309,-8.53035,4.59725
21,498,-3.43183,-3.18173,-3.38229,-2.78976,-3.43183,-3.18173,-0.25010
22,534,-8.86125,-3.27195,-2.16742,-1.74217,-8.86125,-3.27195,-5.58930
23,571,-4.25988,-3.52855,-3.70301,-2.67971,-4.25988,-3.52855,-0.73133
24,604,-3.04156,-5.98831,-2.65213,-3.06544,-3.04156,-5.98831,2.94676
25,641,-3.65500,-2.54659,-2.51662,-2.63042,-3.65500,-2.63042,-1.02459
26,665,-2.23008,-4.37503,-0.05809,1.38103,-2.23008,-4.37503,2.14495
27,672,-6.79340,-1.57120,-7.62709,-1.88193,-7.62709,-1.88193,-5.74516
28,673,-3.91968,-2.80911,-4.23639,-2.11376,-4.23639,-2.80911,-1.42727
29,682,-11.81071,-3.67883,-11.18420,-2.83752,-11.81071,-3.67883,-8.13188
30,763,-3.95760,-3.86577,-4.12923,-2.95114,-4.12923,-3.86577,-0.26346
31,771,-3.20174,-3.08674,-2.71773,-2.40580,-3.20174,-3.08674,-0.11500
32,804,-3.78552,-2.80499,-3.00007,-1.65551,-3.78552,-2.80499,-0.98053
33,809,-2.12619,-3.68941,-2.86058,-2.45244,-2.86058,-3.68941,0.82882
34,811,-3.34719,-7.32700,-4.19705,-5.59017,-4.19705,-7.32700,3.12995
35,812,-4.32285,-2.58389,-2.41768,-2.80763,-4.32285,-2.80763,-1.51521
36,824,-3.63650,-2.35399,-3.91064,-2.79094,-3.91064,-2.79094,-1.11971
37,835,-4.12582,-2.72137,-3.71703,-2.50431,-4.12582,-2.72137,-1.40445
38,842,-3.77064,-2.08649,-3.01406,-1.94340,-3.77064,-2.08649,-1.68415
