pair,episode_id,f1_safe,f1_fatal,f2_safe,f2_fatal,fmin_safe,fmin_fatal,delta_fmin
0,0,-3.27842,-14.97920,-2.09178,-18.06768,-3.27842,-18.06768,14.78926
1,2,-3.36633,-18.67066,-3.14106,-23.14048,-3.36633,-23.14048,19.77414
2,36,-3.96552,-16.76241,-1.92016,-18.39734,-3.96552,-18.39734,14.43182
3,65,-2.98064,-18.35385,-2.39358,-22.89855,-2.98064,-22.89855,19.91791
4,85,-2.28889,-15.85476,-4.94810,-24.23180,-4.94810,-24.23180,19.28370
5,147,-5.65314,-25.35243,-3.99616,-21.94395,-5.65314,-25.35243,19.69929
6,194,-1.84903,-21.79399,-4.57439,-25.24719,-4.57439,-25.24719,20.67280
7,225,-2.32697,-23.74673,-2.96085,-22.70773,-2.96085,-23.74673,20.78588
8,259,-5.19635,-19.98950,-2.49737,-12.74563,-5.19635,-19.98950,14.79315
9,269,-3.94358,-22.09876,-4.18814,-21.66615,-4.18814,-22.09876,17.91062
10,282,-2.85550,-18.49800,-2.96641,-20.55387,-2.96641,-20.55387,17.58747
11,328,-2.41496,-16.93145,-2.77482,-22.84946,-2.77482,-22.84946,20.07464
12,362,-3.05021,-16.86817,-2.08540,-15.79446,-3.05021,-16.86817,13.81796
13,368,-4.81599,-20.65637,-3.02922,-22.52040,-4.81599,-22.52040,17.70441
14,372,-2.12816,-16.44814,-4.80804,-12.99191,-4.80804,-16.44814,11.64010
15,374,-3.60607,-17.55530,-3.44496,-21.51505,-3.60607,-21.51505,17.90898
16,393,-3.19409,-14.47970,-3.94804,-20.25678,-3.94804,-20.25678,16.30873
17,422,-4.02718,-18.65817,-3.77111,-22.58770,-4.02718,-22.58770,18.56052
18,479,-3.22802,-13.57204,-5.40168,-13.79812,-5.40168,-13.79812,8.39644
19,483,-2.79988,-19.66958,-3.48143,-22.12905,-3.48143,-22.12905,18.64762
20,497,-3.70918,-10.07570,-3.84694,-10.41740,-3.84694,-10.41740,6.57047
21,498,-3.35921,-15.03719,-2.68859,-18.56720,-3.35921,-18.56720,15.20798
22,534,-0.39034,-24.22185,-2.73447,-22.70255,-2.73447,-24.22185,21.48738
23,571,-1.29059,-21.73625,-2.02244,-19.73342,-2.02244,-21.73625,19.71381
24,604,-2.86215,-11.15848,-4.21318,-16.14713,-4.21318,-16.14713,11.93395
25,641,-3.47738,-22.60098,-3.27728,-22.45871,-3.47738,-22.60098,19.12361
26,665,-4.78745,-12.53423,-2.77595,-12.13526,-4.78745,-12.53423,7.74678
27,672,-2.13508,-17.03864,-2.89994,-17.12321,-2.89994,-17.12321,14.22327
28,673,-2.75244,-15.82447,-1.94857,-16.92684,-2.75244,-16.92684,14.17439
29,682,-1.97909,-22.63652,-3.18864,-20.78293,-3.18864,-22.63652,19.44787
30,763,-2.74603,-17.96859,-1.19649,-17.69687,-2.74603,-17.96859,15.22256
31,771,-2.18823,-14.38091,-4.14957,-15.73692,-4.14957,-15.73692,11.58735
32,804,-3.41386,-15.91945,-2.94896,-17.41823,-3.41386,-17.41823,14.00437
33,809,-1.38105,-13.01099,-2.57060,-18.97427,-2.57060,-18.97427,16.40367
34,811,-4.68092,-12.81242,-4.91590,-18.27519,-4.91590,-18.27519,13.35929
35,812,-4.18866,-15.83552,-2.61801,-17.31824,-4.18866,-17.31824,13.12959
36,824,-3.04376,-19.98925,-5.02719,-22.76243,-5.02719,-22.76243,17.73524
37,835,-4.61196,-22.76667,-3.63505,-24.42954,-4.61196,-24.42954,19.81758
38,842,-3.13692,-20.64770,-3.66565,-22.14135,-3.66565,-22.14135,18.47570
