pair,episode_id,f1_safe,f1_fatal,f2_safe,f2_fatal,fmin_safe,fmin_fatal,delta_fmin
0,1,-4.44855,-8.37484,-3.81020,-2.93153,-4.44855,-8.37484,3.92628
1,66,-3.47626,-2.76582,-2.87616,-3.67497,-3.47626,-3.67497,0.19871
2,109,-2.46737,-5.49236,-3.72996,-5.66027,-3.72996,-5.66027,1.93031
3,116,-3.42774,-5.70438,-4.49272,-3.93082,-4.49272,-5.70438,1.21165
4,121,-2.53677,-1.52401,-3.45322,-4.19768,-3.45322,-4.19768,0.74445
5,187,-3.28740,-3.52607,-3.30349,-3.43573,-3.30349,-3.52607,0.22258
6,205,-2.82860,-3.52781,-2.53040,-4.38470,-2.82860,-4.38470,1.55611
7,210,-4.47435,-6.57441,-2.14760,-3.23884,-4.47435,-6.57441,2.10005
8,223,-2.28312,-2.57941,-2.13015,-1.59071,-2.28312,-2.57941,0.29629
9,238,-3.00242,-3.34743,-5.19413,-7.01870,-5.19413,-7.01870,1.82457
10,241,-4.67120,-2.02584,-3.17751,-2.91582,-4.67120,-2.91582,-1.75538
11,247,-5.21734,-3.09236,-1.65552,-0.60394,-5.21734,-3.09236,-2.12498
12,252,-3.37141,-3.15564,-3.30511,-3.33335,-3.37141,-3.33335,-0.03806
13,276,-5.09587,-5.45123,-3.29147,-4.36125,-5.09587,-5.45123,0.35536
14,292,-3.84074,-3.84449,-4.04614,-0.84926,-4.04614,-3.84449,-0.20165
15,294,-6.42807,-4.17145,-4.25948,-2.80949,-6.42807,-4.17145,-2.25661
