case,episode_id,baseline_selected_k,baseline_d_fatal,baseline_pathology,state_nn_selected_k,state_nn_d_fatal,state_nn_strict_success,state_nn_pathology,category
1,47,140,4.642,True,39,3.5032,False,False,pathology -> near-miss
6,187,152,6.0811,True,101,5.4006,False,False,pathology -> ordinary non-pathological miss
10,229,72,3.9419,True,16,2.7137,True,False,pathology -> strict success
11,249,78,6.5597,True,130,5.6149,False,False,pathology -> ordinary non-pathological miss
13,282,94,4.6203,True,176,2.3569,True,False,pathology -> strict success
16,366,166,4.4801,True,52,2.4329,True,False,pathology -> strict success
18,376,7,3.2909,True,106,2.9664,True,False,pathology -> strict success
24,433,144,3.6688,True,245,3.3346,False,False,pathology -> near-miss
32,640,255,3.2026,True,255,3.2026,False,True,pathology -> still pathology
39,809,128,4.372,True,199,3.3641,False,False,pathology -> near-miss
40,857,220,6.3004,True,220,6.3004,False,True,pathology -> still pathology
48,994,33,5.8556,True,202,3.4856,False,True,pathology -> still pathology
