case,episode_id,covered,best_d_fatal,nn_k,nn_d_fatal,nn_success,critic_k,critic_d_fatal,critic_success,category
0,51,1,2.0369,240,2.0369,1,67,3.177,0,G1S1_success
1,62,0,3.8383,86,5.6996,0,248,4.2595,0,G0_generator_miss
2,87,1,2.1416,207,2.4153,1,12,2.5202,1,G1S1_success
3,122,0,4.9498,210,5.6075,0,210,5.6075,0,G0_generator_miss
4,153,0,3.2281,20,3.9621,0,55,3.2281,0,G0_generator_miss
5,157,1,1.5967,252,2.1445,1,59,3.2354,0,G1S1_success
6,164,1,1.6918,77,2.0111,1,166,2.2753,1,G1S1_success
7,172,1,3.168,243,5.2968,0,54,5.0931,0,G1S0_real
8,195,0,4.7445,84,5.3357,0,102,6.3911,0,G0_generator_miss
9,213,1,1.9828,143,2.1569,1,173,2.8371,1,G1S1_success
10,239,1,1.0993,127,1.0993,1,179,2.6253,1,G1S1_success
11,246,1,1.8742,144,2.3846,1,144,2.3846,1,G1S1_success
12,316,1,1.6476,18,2.176,1,89,2.5106,1,G1S1_success
13,346,1,1.9882,132,2.0269,1,132,2.0269,1,G1S1_success
14,352,1,2.8634,127,3.2058,0,162,2.9847,1,G1S0_near
15,359,0,3.5661,235,4.041,0,48,4.7146,0,G0_generator_miss
16,378,0,3.645,118,3.645,0,118,3.645,0,G0_generator_miss
17,385,0,3.2409,69,3.2409,0,212,3.7769,0,G0_generator_miss
18,456,0,3.5537,116,4.4113,0,77,4.8942,0,G0_generator_miss
19,458,0,3.3799,67,3.3799,0,240,8.5986,0,G0_generator_miss
20,468,1,1.4927,73,1.9079,1,73,1.9079,1,G1S1_success
21,494,1,2.5169,218,2.5169,1,65,3.0009,1,G1S1_success
22,535,0,3.7211,137,4.3849,0,105,3.7228,0,G0_generator_miss
23,597,1,2.7321,221,3.4737,0,138,2.7321,1,G1S0_near
24,666,1,2.5078,98,2.9013,1,207,3.9431,0,G1S1_success
25,679,1,2.2203,117,2.2203,1,204,2.4732,1,G1S1_success
26,707,0,3.3435,169,4.1755,0,169,4.1755,0,G0_generator_miss
27,715,0,4.9116,127,5.9579,0,90,5.6873,0,G0_generator_miss
28,721,1,2.6096,104,2.7539,1,228,3.8161,0,G1S1_success
29,790,0,4.6735,134,5.1469,0,134,5.1469,0,G0_generator_miss
30,837,0,3.438,190,5.3207,0,190,5.3207,0,G0_generator_miss
31,845,0,3.2089,35,3.2089,0,70,4.0267,0,G0_generator_miss
32,889,1,1.81,2,1.9002,1,255,2.0594,1,G1S1_success
33,903,1,2.8864,40,3.4933,0,103,5.2366,0,G1S0_near
34,904,1,1.7863,162,2.0434,1,20,2.5815,1,G1S1_success
35,953,1,1.9229,64,2.2813,1,64,2.2813,1,G1S1_success
36,996,1,2.6968,241,2.7372,1,241,2.7372,1,G1S1_success
37,1012,1,2.5516,156,4.5088,0,36,3.8076,0,G1S0_real
38,1031,0,5.2468,196,5.8932,0,23,7.3383,0,G0_generator_miss
39,1089,0,3.747,77,3.8811,0,10,5.4925,0,G0_generator_miss
40,1117,1,2.3085,251,2.3085,1,238,3.0841,1,G1S1_success
41,1119,1,2.4926,52,3.6825,0,189,3.9731,0,G1S0_near
42,1121,1,2.8557,232,4.6434,0,137,4.2775,0,G1S0_real
43,1130,0,4.1741,124,4.8307,0,43,4.4606,0,G0_generator_miss
44,1133,1,2.34,240,2.8722,1,240,2.8722,1,G1S1_success
45,1185,0,5.2135,71,5.2135,0,71,5.2135,0,G0_generator_miss
46,1196,1,2.0828,133,2.6733,1,136,2.2832,1,G1S1_success
47,1207,1,2.9947,173,2.9947,1,173,2.9947,1,G1S1_success
48,1211,1,2.4706,249,2.4706,1,228,3.404,0,G1S1_success
49,1228,1,2.668,54,2.7407,1,161,3.0812,1,G1S1_success
