parameters,emitter,condition,epsilon,zero_denominators,projection_frequency,atom_frequency,count,median,p90,p95,p99,p99_9,max,above_1,above_1.05,above_1.25,above_2,above_5,atom_switch_fraction
frobenius_s0,frobenius,diagonal_center_fixed_xprime,0.1,0,0.072265625,0.09375,256,0.2902477297074997,0.42673674729625527,0.4594524499653676,0.4734575853685852,0.49196349768769315,0.49204960488701344,0.0,0.0,0.0,0.0,0.0,
frobenius_s0,frobenius,diagonal_center_fixed_xprime,0.03,0,0.013671875,0.08203125,256,0.3161874278880187,0.43355815764633804,0.4614363544646659,0.4746791088079975,0.4919711156424847,0.49206086012648387,0.0,0.0,0.0,0.0,0.0,
frobenius_s0,frobenius,diagonal_center_fixed_xprime,0.01,0,0.01953125,0.078125,256,0.30022312368536097,0.43152316918759726,0.4622702570358816,0.4747074665134175,0.49193571488164833,0.4920254587519359,0.0,0.0,0.0,0.0,0.0,
frobenius_s0,frobenius,diagonal_center_fixed_xprime,0.003,0,0.013671875,0.09765625,256,0.30262598918743777,0.43504452265525395,0.4641463369767259,0.47476417285788275,0.49190843014328256,0.491967736909128,0.0,0.0,0.0,0.0,0.0,
frobenius_s0,frobenius,diagonal_center_fixed_xprime,0.001,0,0.025390625,0.0859375,256,0.29638322907386266,0.42726325156753586,0.46122586830310097,0.47450525233185914,0.49190369345523743,0.49194818878114654,0.0,0.0,0.0,0.0,0.0,
frobenius_s0,frobenius,off_diagonal_fixed_xprime,0.1,0,0.078125,0.09375,256,0.29822685985194275,0.43151611826946823,0.453673338352825,0.47248805097552066,0.4874703568870727,0.4917163682003253,0.0,0.0,0.0,0.0,0.0,
frobenius_s0,frobenius,off_diagonal_fixed_xprime,0.03,0,0.06640625,0.08203125,256,0.3019346596580785,0.43151305290679054,0.4536692987270434,0.4724946829318821,0.487474797537458,0.4917237162670593,0.0,0.0,0.0,0.0,0.0,
frobenius_s0,frobenius,off_diagonal_fixed_xprime,0.01,0,0.06640625,0.078125,256,0.3019484034287082,0.43152022504334275,0.4536896939435069,0.4724833789144981,0.48747250448889057,0.49171790820472294,0.0,0.0,0.0,0.0,0.0,
frobenius_s0,frobenius,off_diagonal_fixed_xprime,0.003,0,0.05859375,0.09765625,256,0.30650964873008224,0.4355546461331855,0.4547077263706367,0.4735420679646334,0.4874981222507501,0.4917641943648132,0.0,0.0,0.0,0.0,0.0,
frobenius_s0,frobenius,off_diagonal_fixed_xprime,0.001,0,0.06640625,0.0859375,256,0.30326408709265557,0.43144027255683565,0.4536767935156554,0.4723941385464036,0.48753296616998454,0.4917736973069932,0.0,0.0,0.0,0.0,0.0,
