episode,reset_seed,policy,reach,strict_success,discounted_return,undiscounted_return,absorbed,lower_route,entered_1_2,reached_y_below_2,shortcut,stuck_other,first_fork_landing_1_2,first_fork_landing_2_3,hazard_landings,route_class,fork_time,first_fork_landing_cell,time_to_goal,death_time
0,9300000,P_bc0.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,lower,1,"(1,2)",,
1,9300001,P_bc0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,shortcut,1,"(2,3)",,5
2,9300002,P_bc0.2,1.0,1.0,11.72950912024697,42.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,stuck_other,-1,none,9,
3,9300003,P_bc0.2,1.0,1.0,11.72950912024697,42.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,lower,1,"(1,2)",9,
4,9300004,P_bc0.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,lower,1,"(0,3)",,
5,9300005,P_bc0.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,lower,1,"(1,2)",,
6,9300006,P_bc0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,shortcut,1,"(2,3)",,5
7,9300007,P_bc0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,shortcut,1,"(2,3)",,5
8,9300008,P_bc0.2,1.0,1.0,11.72950912024697,42.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,shortcut,1,"(2,3)",9,
9,9300009,P_bc0.2,1.0,1.0,8.743533392532179,36.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,stuck_other,-1,none,10,
10,9300010,P_bc0.2,1.0,1.0,11.72950912024697,42.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,lower,1,"(1,2)",9,
11,9300011,P_bc0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,stuck_other,-1,none,,6
12,9300012,P_bc0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,shortcut,1,"(2,3)",,6
13,9300013,P_bc0.2,1.0,1.0,11.72950912024697,42.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,stuck_other,-1,none,9,
14,9300014,P_bc0.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,lower,1,"(2,3)",,
15,9300015,P_bc0.2,1.0,1.0,12.42784641634072,43.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,stuck_other,-1,none,8,
16,9300016,P_bc0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,stuck_other,-1,none,,
17,9300017,P_bc0.2,1.0,1.0,0.9028314692026955,9.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,lower,1,"(0,3)",42,
18,9300018,P_bc0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,stuck_other,-1,none,,5
19,9300019,P_bc0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,shortcut,1,"(2,3)",,3
20,9300020,P_bc0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,shortcut,1,"(2,3)",,6
21,9300021,P_bc0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,shortcut,1,"(2,3)",,7
22,9300022,P_bc0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,shortcut,1,"(2,3)",,3
23,9300023,P_bc0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,shortcut,1,"(2,3)",,
24,9300024,P_bc0.2,1.0,1.0,11.72950912024697,42.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,stuck_other,-1,none,9,
25,9300025,P_bc0.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,lower,1,"(1,2)",,
26,9300026,P_bc0.2,1.0,1.0,8.727942160055825,37.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,stuck_other,-1,none,14,
27,9300027,P_bc0.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,lower,1,"(1,2)",,
28,9300028,P_bc0.2,1.0,1.0,13.16293830696572,44.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,shortcut,1,"(2,3)",7,
29,9300029,P_bc0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,shortcut,1,"(2,3)",,7
30,9300030,P_bc0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,shortcut,1,"(2,3)",,3
31,9300031,P_bc0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,shortcut,1,"(1,3)",,5
32,9300032,P_bc0.2,1.0,1.0,8.78340016905278,37.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,lower,1,"(1,2)",12,
33,9300033,P_bc0.2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,lower,1,"(2,3)",,27
34,9300034,P_bc0.2,1.0,1.0,13.16293830696572,44.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,stuck_other,-1,none,7,
35,9300035,P_bc0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,shortcut,1,"(2,3)",,4
36,9300036,P_bc0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,shortcut,1,"(2,3)",,4
37,9300037,P_bc0.2,1.0,1.0,6.77259553100317,32.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,lower,1,"(1,2)",12,
38,9300038,P_bc0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,shortcut,1,"(2,3)",,7
39,9300039,P_bc0.2,1.0,1.0,11.72950912024697,42.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,lower,1,"(1,2)",9,
40,9300040,P_bc0.2,1.0,1.0,11.72950912024697,42.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,stuck_other,-1,none,9,
41,9300041,P_bc0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,stuck_other,-1,none,,7
