episode,policy,reach,strict_success,discounted_return,undiscounted_return,absorbed,lower_route,entered_1_2,reached_y_below_2,shortcut,stuck_other,first_departure_1_2,first_departure_2_3,hazard_landings,route_class,departure_time,first_departure_cell,time_to_goal,death_time
0,P_bc0.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,lower,2,"(1,2)",,
1,P_bc0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,shortcut,2,"(2,3)",,5
2,P_bc0.2,1.0,1.0,11.72950912024697,42.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,lower,1,"(1,2)",9,
3,P_bc0.2,1.0,1.0,11.72950912024697,42.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,lower,2,"(1,2)",9,
4,P_bc0.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,lower,3,"(1,2)",,
5,P_bc0.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,lower,2,"(1,2)",,
6,P_bc0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,shortcut,2,"(2,3)",,5
7,P_bc0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,shortcut,2,"(2,3)",,5
8,P_bc0.2,1.0,1.0,11.72950912024697,42.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,shortcut,2,"(2,3)",9,
9,P_bc0.2,1.0,1.0,8.743533392532179,36.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,lower,1,"(1,2)",10,
10,P_bc0.2,1.0,1.0,11.72950912024697,42.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,lower,2,"(1,2)",9,
11,P_bc0.2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,lower,1,"(1,2)",,6
