root,x,y,action,ax,ay,q_s0,q_s2,native_reach,native_strict_success,native_discounted_return,native_lower,native_shortcut,native_absorbed,ett_reach,ett_strict_success,ett_discounted_return,ett_lower,ett_shortcut,ett_absorbed,replay_transitions,replay_first_queries
0,1.496,3.328,down,0.000,-1.000,-6.329,-5.945,0.969,0.953,10.015,1.000,0.000,0.016,0.781,0.766,7.003,1.000,0.000,0.156,1299,1218
0,1.496,3.328,right,1.000,0.000,-6.156,-6.150,0.359,0.359,4.341,0.047,0.953,0.641,0.203,0.203,2.624,0.016,0.875,0.797,2851,1218
0,1.496,3.328,actor_s0,0.995,-0.992,-6.363,-6.663,0.969,0.938,9.953,1.000,0.000,0.031,0.250,0.250,2.418,0.219,0.656,0.750,25,0
0,1.496,3.328,actor_s2,1.000,-0.748,-6.163,-6.404,0.938,0.938,10.243,1.000,0.000,0.062,0.250,0.250,2.394,0.188,0.672,0.719,73,0
0,1.496,3.328,argmax_s0,0.300,-0.300,-6.002,-5.780,0.703,0.703,6.696,0.875,0.125,0.281,0.344,0.344,2.946,0.500,0.266,0.641,57,0
0,1.496,3.328,argmax_s2,0.467,-0.300,-6.014,-5.619,0.453,0.453,4.338,0.438,0.562,0.547,0.328,0.328,2.942,0.344,0.484,0.641,92,0
1,1.497,3.338,down,0.000,-1.000,-6.324,-5.945,0.938,0.938,9.919,1.000,0.000,0.047,0.844,0.828,7.508,1.000,0.000,0.094,1321,1239
1,1.497,3.338,right,1.000,0.000,-6.146,-6.151,0.344,0.344,4.162,0.047,0.953,0.656,0.312,0.312,3.898,0.016,0.875,0.688,2909,1239
1,1.497,3.338,actor_s0,0.996,-0.992,-6.358,-6.660,0.938,0.938,9.875,1.000,0.000,0.047,0.328,0.312,3.234,0.188,0.625,0.656,26,0
1,1.497,3.338,actor_s2,1.000,-0.746,-6.153,-6.401,0.922,0.922,10.187,1.000,0.000,0.078,0.172,0.172,1.932,0.141,0.688,0.797,76,0
1,1.497,3.338,argmax_s0,0.300,-0.300,-5.992,-5.780,0.688,0.688,6.463,0.875,0.125,0.297,0.422,0.406,3.249,0.438,0.453,0.578,56,0
1,1.497,3.338,argmax_s2,0.467,-0.300,-6.005,-5.617,0.438,0.438,4.325,0.391,0.609,0.562,0.312,0.312,3.105,0.312,0.484,0.688,92,0
2,1.445,3.219,down,0.000,-1.000,-6.426,-6.003,0.969,0.953,9.996,1.000,0.000,0.016,0.812,0.812,6.501,1.000,0.000,0.094,966,873
2,1.445,3.219,right,1.000,0.000,-6.251,-6.099,0.375,0.359,4.145,0.062,0.938,0.641,0.172,0.172,2.090,0.047,0.797,0.828,1902,873
2,1.445,3.219,actor_s0,0.994,-0.994,-6.446,-6.639,0.969,0.953,9.986,1.000,0.000,0.016,0.219,0.219,2.127,0.266,0.531,0.781,18,0
2,1.445,3.219,actor_s2,1.000,-0.745,-6.275,-6.393,0.953,0.938,10.169,1.000,0.000,0.031,0.266,0.266,2.287,0.266,0.578,0.734,57,0
2,1.445,3.219,argmax_s0,0.733,0.100,-6.121,-5.941,0.328,0.312,3.525,0.062,0.938,0.688,0.234,0.219,2.600,0.062,0.906,0.781,511,0
2,1.445,3.219,argmax_s2,0.467,-0.300,-6.136,-5.647,0.719,0.703,6.306,1.000,0.000,0.281,0.266,0.250,1.933,1.000,0.000,0.688,75,0
3,1.500,3.558,down,0.000,-1.000,-6.256,-6.015,0.953,0.953,9.902,1.000,0.000,0.031,0.891,0.891,7.802,1.000,0.000,0.094,1488,1395
3,1.500,3.558,right,1.000,0.000,-6.126,-6.194,0.312,0.312,3.707,0.047,0.953,0.688,0.359,0.328,4.208,0.031,0.891,0.672,3359,1395
3,1.500,3.558,actor_s0,0.998,-0.980,-6.293,-6.613,0.375,0.375,4.274,0.094,0.906,0.625,0.219,0.219,2.417,0.047,0.781,0.750,38,0
3,1.500,3.558,actor_s2,1.000,-0.718,-6.024,-6.327,0.375,0.375,4.254,0.109,0.891,0.625,0.250,0.234,2.192,0.078,0.625,0.766,121,0
3,1.500,3.558,argmax_s0,0.333,-0.467,-5.905,-5.656,0.781,0.766,7.184,0.844,0.156,0.234,0.297,0.281,2.092,0.391,0.391,0.688,65,0
3,1.500,3.558,argmax_s2,0.500,-0.300,-5.928,-5.573,0.234,0.234,2.404,0.141,0.859,0.766,0.250,0.250,2.830,0.141,0.656,0.750,116,0
4,1.500,3.385,down,0.000,-1.000,-6.304,-5.949,0.953,0.953,10.030,1.000,0.000,0.031,0.828,0.828,7.570,1.000,0.000,0.094,1376,1293
