model,group,rows,episodes,es,mean_xy_vector_rmse,illegal_sample_fraction,illegal_mean_fraction,atom_fraction,stationary_fraction,projection_fraction,mean_step_distance
initial,diagonal__all,1269,24,0.03797863030229189,0.17739425599575043,0.0,0.0,0.2789228723404255,0.30037184791174154,0.0,0.2920339107513428
initial,diagonal__alive_outside_goal,168,24,0.02211768408519239,0.11490050703287125,0.0,0.0,0.03562127976190476,0.041294642857142856,0.0,0.7599671483039856
initial,diagonal__ordinary_motion,799,24,0.013338429591888133,0.060359835624694824,0.0,0.0,0.008193836045056321,0.011928973717146433,0.0,0.37499892711639404
initial,diagonal__fatal_onset,0,,,,,,,,,
initial,diagonal__already_dead,470,9,0.07986697150997828,0.2806633710861206,0.0,0.0,0.7391622340425532,0.7907247340425532,0.0,0.15099334716796875
initial,diagonal__teacher_prefix,609,12,0.012007927680221023,0.04831424728035927,0.0,0.0,0.010314039408866995,0.01195607553366174,0.0,0.37233465909957886
initial,diagonal__blind_prefix,660,12,0.06194250590356637,0.24156132340431213,0.0,0.0,0.5267755681818181,0.566500946969697,0.0,0.21793822944164276
initial,off__all,3531,24,0.3981158323974183,0.6289741396903992,0.0,0.0,0.2543056145567828,0.2765771028037383,0.0,0.3136116564273834
initial,off__alive_outside_goal,444,24,1.0044478501875882,1.2492921352386475,0.0,0.0,0.03930884009009009,0.04560810810810811,0.0,0.8572759032249451
initial,off__ordinary_motion,2275,24,0.5349625790381476,0.7170404195785522,0.0,0.0,0.006373626373626374,0.009086538461538462,0.0,0.37840598821640015
initial,off__fatal_onset,62,23,1.243531014434791,1.373569130897522,0.0,0.0,0.06602822580645161,0.11113911290322581,0.0,0.580288290977478
initial,off__already_dead,1194,9,0.09347421607080512,0.30384790897369385,0.0,0.0,0.7364818886097152,0.7948335427135679,0.0,0.1763075888156891
initial,off__teacher_prefix,1791,12,0.539451308592018,0.7189267873764038,0.0,0.0,0.010024078726968174,0.011699120603015076,0.0,0.37879666686058044
initial,off__blind_prefix,1740,12,0.2526377646591839,0.5203917026519775,0.0,0.0,0.5057471264367817,0.54921875,0.0,0.24651607871055603
A_s0,diagonal__all,1269,24,0.03242053631448074,0.15928417444229126,0.0,0.0,0.2949911347517731,0.3130048266351458,0.0,0.2821720540523529
A_s0,diagonal__alive_outside_goal,168,24,0.028455028260084787,0.1262151449918747,0.0,0.0,0.04454985119047619,0.05022321428571429,0.0,0.7508342266082764
A_s0,diagonal__ordinary_motion,799,24,0.014691305614669461,0.06507932394742966,0.0,0.0,0.010227628285356696,0.013943210262828536,0.0,0.37298384308815
A_s0,diagonal__fatal_onset,0,,,,,,,,,
A_s0,diagonal__already_dead,470,9,0.0625602285041599,0.24759414792060852,0.0,0.0,0.7790890957446809,0.8214095744680852,0.0,0.12779197096824646
A_s0,diagonal__teacher_prefix,609,12,0.013529962644141861,0.05526314675807953,0.0,0.0,0.012879720853858785,0.01452175697865353,0.0,0.37018218636512756
A_s0,diagonal__blind_prefix,660,12,0.04985138383756616,0.21439297497272491,0.0,0.0,0.5553030303030303,0.5884232954545454,0.0,0.20096273720264435
A_s0,off__all,3531,24,0.3903571883840501,0.6216406226158142,0.0,0.0,0.26909427216086096,0.28785223732653636,0.0,0.30306336283683777
A_s0,off__alive_outside_goal,444,24,0.9978510037018897,1.2429975271224976,0.0,0.0,0.047543637387387386,0.05387809684684685,0.0,0.8469390273094177
A_s0,off__ordinary_motion,2275,24,0.5341729266617906,0.7154122591018677,0.0,0.0,0.007884615384615384,0.010563186813186813,0.0,0.3766411244869232
A_s0,off__fatal_onset,62,23,1.225236537392817,1.3586429357528687,0.0,0.0,0.07862903225806452,0.12399193548387097,0.0,0.5663238167762756
A_s0,off__already_dead,1194,9,0.07298422002525325,0.2678850293159485,0.0,0.0,0.7766828936348409,0.8246963986599665,0.0,0.14920102059841156
A_s0,off__teacher_prefix,1791,12,0.5383716916557785,0.716980516910553,0.0,0.0,0.012196398659966499,0.0138714405360134,0.0,0.37667274475097656
A_s0,off__blind_prefix,1740,12,0.23800432898194332,0.5050468444824219,0.0,0.0,0.5335219109195403,0.5698635057471264,0.0,0.22729644179344177
B_s0,diagonal__all,1269,24,0.03713279943487834,0.172542542219162,0.0,0.0,0.28276447990543735,0.30335155634357763,0.0,0.2881982922554016
B_s0,diagonal__alive_outside_goal,168,24,0.027804756209692732,0.11823292076587677,0.0,0.0,0.03655133928571429,0.042224702380952384,0.0,0.7492867708206177
B_s0,diagonal__ordinary_motion,799,24,0.014636540925949047,0.06190180778503418,0.0,0.0,0.008428504380475595,0.012124530663329162,0.0,0.3726126253604889
B_s0,diagonal__fatal_onset,0,,,,,,,,,
B_s0,diagonal__already_dead,470,9,0.07537643890005816,0.27178555727005005,0.0,0.0,0.7491356382978723,0.7984375,0.0,0.14469388127326965
B_s0,diagonal__teacher_prefix,609,12,0.013432831548580257,0.05118691548705101,0.0,0.0,0.010621921182266009,0.012263957307060756,0.0,0.3700149953365326
B_s0,diagonal__blind_prefix,660,12,0.05900140616632613,0.23414470255374908,0.0,0.0,0.533877840909091,0.5719460227272727,0.0,0.21270374953746796
B_s0,off__all,3531,24,0.1625531957085417,0.2513090670108795,0.0,0.000849617672047609,0.25793861512319455,0.0,0.06308853724157462,0.2945697605609894
B_s0,off__alive_outside_goal,444,24,0.26972388410217596,0.3653008043766022,0.0,0.006756756756756799,0.04103322072072072,0.0,0.07492257882882883,0.6844383478164673
B_s0,off__ordinary_motion,2275,24,0.16808886323190753,0.22579620778560638,0.0,0.0008791208791208982,0.006682692307692308,0.0,0.08455357142857142,0.32113173604011536
B_s0,off__fatal_onset,62,23,0.2975815579826873,0.4259681701660156,0.0,0.016129032258064502,0.06804435483870967,0.0,0.11643145161290322,0.6528006792068481
B_s0,off__already_dead,1194,9,0.14499423249526344,0.28320741653442383,0.0,0.0,0.7465321398659966,0.0,0.01942001675041876,0.22535808384418488
B_s0,off__teacher_prefix,1791,12,0.16286786715420792,0.21285022795200348,0.0,0.0,0.0104428391959799,0.0,0.08782628419877164,0.3253905177116394
B_s0,off__blind_prefix,1740,12,0.16222930113429562,0.2855354845523834,0.0,0.0017241379310344307,0.5126885775862069,0.0,0.0376257183908046,0.2628456652164459
A_s1,diagonal__all,1269,24,0.03340954143828274,0.16104495525360107,0.0,0.0,0.2942400512214342,0.31124408983451535,0.0,0.2843880355358124
A_s1,diagonal__alive_outside_goal,168,24,0.024303803144446225,0.1161767765879631,0.0,0.0,0.044177827380952384,0.04892113095238095,0.0,0.753515899181366
A_s1,diagonal__ordinary_motion,799,24,0.015141067660851767,0.06147458031773567,0.0,0.0,0.010149405506883605,0.013649874843554443,0.0,0.3735366463661194
A_s1,diagonal__fatal_onset,0,,,,,,,,,
A_s1,diagonal__already_dead,470,9,0.06446594685991539,0.2521929144859314,0.0,0.0,0.7771941489361702,0.817154255319149,0.0,0.13283544778823853
A_s1,diagonal__teacher_prefix,609,12,0.01452038706040704,0.05526549369096756,0.0,0.0,0.012777093596059113,0.014419129720853859,0.0,0.37052375078201294
A_s1,diagonal__blind_prefix,660,12,0.050839079341504397,0.2169068604707718,0.0,0.0,0.5539535984848485,0.5851325757575757,0.0,0.20490829646587372
A_s1,off__all,3531,24,0.3909292949450128,0.6230883002281189,0.0,0.0,0.26833315632965166,0.28594944774851316,0.0,0.30562520027160645
A_s1,off__alive_outside_goal,444,24,0.9999146244243761,1.2461605072021484,0.0,0.0,0.047015765765765764,0.05218890765765766,0.0,0.8507683277130127
A_s1,off__ordinary_motion,2275,24,0.5335191914620718,0.7155928611755371,0.0,0.0,0.007760989010989011,0.010432692307692308,0.0,0.37697699666023254
A_s1,off__fatal_onset,62,23,1.2324849917949292,1.371559977531433,0.0,0.0,0.07837701612903226,0.11542338709677419,0.0,0.580282986164093
